time	Pump A:Actual flow [µL/min]
00:00:00.072	0.013
00:00:00.225	0.005
00:00:00.655	-0.006
00:00:01.124	-0.002
00:00:01.615	0.001
00:00:02.064	-0.002
00:00:02.525	0.005
00:00:02.985	-0.002
00:00:03.409	0.001
00:00:03.874	-0.002
00:00:04.344	0.013
00:00:04.814	0.001
00:00:06.624	0.001
00:00:07.074	-0.002
00:00:07.464	-0.006
00:00:07.884	0.009
00:00:08.734	-0.002
00:00:09.154	-0.006
00:00:09.594	0.001
00:00:10.014	-0.002
00:00:10.434	0.005
00:00:10.854	-0.006
00:00:11.284	0.032
00:00:11.724	-0.002
00:00:12.154	-0.006
00:00:12.599	-0.002
00:00:13.089	0.001
00:00:14.054	-0.014
00:00:14.544	-0.556
00:00:15.004	0.404
00:00:15.424	0.032
00:00:15.864	-0.037
00:00:16.304	-0.040
00:00:16.724	-0.450
00:00:17.144	-0.367
00:00:17.564	0.039
00:00:18.024	0.085
00:00:18.428	0.252
00:00:18.874	0.009
00:00:19.304	0.168
00:00:19.734	-0.014
00:00:20.138	-0.166
00:00:20.604	0.035
00:00:21.044	-0.075
00:00:21.474	0.381
00:00:21.878	0.324
00:00:22.308	0.335
00:00:22.727	0.320
00:00:23.164	0.263
00:00:23.578	0.191
00:00:23.998	0.195
00:00:24.444	0.123
00:00:24.874	0.104
00:00:25.277	0.047
00:00:25.698	0.016
00:00:26.127	-0.006
00:00:26.564	0.035
00:00:26.994	0.028
00:00:27.397	0.039
00:00:27.817	0.070
00:00:28.294	0.062
00:00:28.724	0.013
00:00:29.127	0.020
00:00:29.584	-0.037
00:00:29.987	-0.014
00:00:30.427	-0.014
00:00:30.857	0.032
00:00:31.317	-0.010
00:00:31.757	-0.018
00:00:32.207	0.024
00:00:32.647	0.001
00:00:33.067	-0.029
00:00:33.497	-0.002
00:00:33.927	0.001
00:00:34.367	-0.025
00:00:34.807	0.013
00:00:35.227	0.028
00:00:35.647	-0.018
00:00:36.087	0.020
00:00:36.527	0.001
00:00:36.967	-0.037
00:00:37.387	-0.025
00:00:37.817	0.062
00:00:38.237	-0.029
00:00:38.677	-0.040
00:00:39.107	0.051
00:00:39.537	0.039
00:00:39.987	0.445
00:00:40.437	0.681
00:00:40.867	0.908
00:00:41.297	1.193
00:00:41.747	1.488
00:00:42.167	1.664
00:00:42.607	1.991
00:00:43.027	2.274
00:00:43.447	2.514
00:00:43.887	3.145
00:00:44.317	4.836
00:00:44.767	5.924
00:00:45.197	5.598
00:00:45.647	5.535
00:00:46.077	5.410
00:00:46.497	5.317
00:00:46.947	5.395
00:00:47.377	5.410
00:00:47.807	5.365
00:00:48.227	5.447
00:00:48.667	5.421
00:00:49.127	5.321
00:00:49.587	5.469
00:00:50.073	5.387
00:00:50.493	5.291
00:00:50.913	5.487
00:00:51.353	5.402
00:00:52.727	5.402
00:00:52.743	4.327
00:00:53.228	14.580
00:00:53.713	12.918
00:00:54.113	11.481
00:00:54.538	9.664
00:00:54.973	8.354
00:00:55.403	7.062
00:00:55.843	6.118
00:00:56.278	5.335
00:00:56.713	4.526
00:00:57.148	3.969
00:00:57.593	3.407
00:00:58.018	3.012
00:00:58.448	2.674
00:00:58.888	2.332
00:00:59.323	2.089
00:00:59.753	1.833
00:01:00.188	1.650
00:01:00.628	1.474
00:01:01.063	1.333
00:01:01.498	1.214
00:01:01.943	1.091
00:01:02.383	0.992
00:01:02.803	0.912
00:01:03.223	0.863
00:01:03.653	0.840
00:01:04.093	0.783
00:01:04.523	0.722
00:01:04.962	0.665
00:01:05.413	0.627
00:01:06.373	0.407
00:01:06.788	0.309
00:01:07.223	0.240
00:01:07.668	0.225
00:01:08.123	0.259
00:01:08.573	0.271
00:01:09.012	0.286
00:01:09.448	0.290
00:01:09.883	0.278
00:01:10.308	0.275
00:01:10.752	0.252
00:01:11.637	0.244
00:01:12.082	0.252
00:01:12.522	0.233
00:01:13.402	0.237
00:01:13.842	0.214
00:01:14.272	0.210
00:01:14.717	0.183
00:01:15.172	0.199
00:01:16.057	0.191
00:01:16.497	0.183
00:01:16.922	0.172
00:01:17.372	0.176
00:01:18.282	0.161
00:01:19.177	0.157
00:01:20.512	0.149
00:01:21.407	0.145
00:01:21.852	0.142
00:01:22.297	0.138
00:01:22.757	0.134
00:01:23.657	0.123
00:01:24.092	0.138
00:01:24.547	0.119
00:01:25.017	0.123
00:01:25.477	0.115
00:01:25.937	0.123
00:01:26.397	0.108
00:01:26.862	0.115
00:01:27.787	0.108
00:01:28.252	0.104
00:01:30.077	0.096
00:01:30.547	0.104
00:01:31.017	0.096
00:01:31.487	0.085
00:01:31.947	0.089
00:01:33.286	0.089
00:01:33.327	0.081
00:01:33.787	0.096
00:01:34.257	0.081
00:01:34.717	0.077
00:01:35.187	0.089
00:01:36.127	0.092
00:01:36.587	0.089
00:01:37.057	0.077
00:01:37.997	0.081
00:01:38.467	0.070
00:01:38.927	0.081
00:01:39.857	0.077
00:01:40.327	0.073
00:01:40.787	0.077
00:01:41.717	0.073
00:01:42.657	0.070
00:01:43.127	0.062
00:01:43.597	0.070
00:01:44.067	0.062
00:01:45.006	0.070
00:01:45.476	0.077
00:01:45.911	0.073
00:01:46.341	0.066
00:01:46.796	0.062
00:01:47.266	0.070
00:01:48.206	0.062
00:01:48.676	0.066
00:01:49.146	0.070
00:01:49.616	0.073
00:01:50.086	0.066
00:01:50.556	0.062
00:01:51.026	0.054
00:01:51.496	0.058
00:01:51.956	0.062
00:01:52.427	0.054
00:01:52.896	0.066
00:01:53.366	0.054
00:01:53.836	0.062
00:01:54.306	0.058
00:01:54.776	0.054
00:01:56.186	0.058
00:01:56.656	0.051
00:01:57.126	0.058
00:01:58.066	0.054
00:01:58.536	0.047
00:01:59.645	0.047
00:02:00.416	0.051
00:02:00.886	0.054
00:02:01.826	0.043
00:02:02.296	0.047
00:02:02.766	0.035
00:02:03.706	0.054
00:02:04.176	0.047
00:02:05.116	0.054
00:02:05.586	0.047
00:02:06.586	-0.021
00:02:07.056	0.001
00:02:07.526	-0.006
00:02:07.986	-0.010
00:02:08.456	-0.002
00:02:08.926	-0.014
00:02:09.396	-0.002
00:02:09.866	-0.006
00:02:10.336	0.005
00:02:10.806	0.001
00:02:11.276	-0.002
00:02:11.781	0.009
00:02:12.216	0.001
00:02:12.686	-0.010
00:02:13.156	0.001
00:02:14.096	-0.014
00:02:14.566	-0.002
00:02:15.036	0.001
00:02:15.506	-0.010
00:02:15.976	-0.006
00:02:16.446	0.009
00:02:16.919	0.001
00:02:17.856	0.005
00:02:18.326	0.016
00:02:18.790	0.005
00:02:19.715	0.001
00:02:20.655	0.009
00:02:21.125	-0.006
00:02:21.595	0.001
00:02:22.065	-0.006
00:02:22.535	0.005
00:02:23.005	-0.002
00:02:23.475	0.001
00:02:23.945	0.005
00:02:24.415	0.001
00:02:24.885	0.005
00:02:25.355	-0.002
00:02:25.825	0.001
00:02:26.295	-0.006
00:02:26.765	0.001
00:02:27.235	-0.006
00:02:27.705	-0.002
00:02:28.175	-0.010
00:02:28.645	-0.006
00:02:29.115	0.001
00:02:29.585	-0.014
00:02:30.055	0.005
