time	Pump B:Displacement [µL]
00:00:00.072	12.060
00:00:16.218	12.060
00:00:16.374	12.070
00:00:16.794	12.110
00:00:17.214	12.200
00:00:17.644	12.280
00:00:18.078	12.360
00:00:18.498	12.400
00:00:18.928	12.470
00:00:19.358	12.530
00:00:19.788	12.590
00:00:20.208	12.630
00:00:20.658	12.720
00:00:21.098	12.790
00:00:21.528	12.830
00:00:21.948	12.840
00:00:26.358	12.840
00:00:27.047	12.850
00:00:29.397	12.850
00:00:29.637	12.860
00:00:30.497	12.870
00:00:31.827	12.880
00:00:33.137	12.890
00:00:34.447	12.900
00:00:35.487	12.900
00:00:35.717	12.910
00:00:37.037	12.920
00:00:38.317	12.930
00:00:39.537	12.930
00:00:39.617	12.940
00:00:40.517	12.950
00:00:41.567	12.950
00:00:41.817	12.960
00:00:42.677	12.970
00:00:44.387	12.990
00:00:44.853	13.010
00:00:46.637	13.010
00:00:47.447	13.020
00:00:50.697	13.020
00:00:50.983	13.030
00:01:05.907	13.030
00:01:06.863	13.040
00:02:11.815	13.040
00:02:11.826	12.940
00:02:12.296	12.640
00:02:12.766	12.340
00:02:13.236	12.050
00:02:13.706	11.750
00:02:14.176	11.450
00:02:14.646	11.150
00:02:15.116	10.860
00:02:15.586	10.560
00:02:16.056	10.260
00:02:16.526	9.960
00:02:16.995	9.670
00:02:17.466	9.370
00:02:17.935	9.070
00:02:18.426	8.760
00:02:18.855	8.490
00:02:19.326	8.190
00:02:19.795	7.890
00:02:20.265	7.600
00:02:20.735	7.300
00:02:21.206	7.000
00:02:21.676	6.700
00:02:22.145	6.400
00:02:22.615	6.110
00:02:23.085	5.810
00:02:23.555	5.510
00:02:24.026	5.210
00:02:24.495	4.920
00:02:24.965	4.620
00:02:25.435	4.320
00:02:25.905	4.020
00:02:26.375	3.720
00:02:26.845	3.430
00:02:27.315	3.130
00:02:27.785	2.830
00:02:28.255	2.530
00:02:28.725	2.240
00:02:29.195	1.940
00:02:29.665	1.640
00:02:30.135	1.340
00:02:30.605	1.050
00:02:31.075	0.750
00:02:31.545	0.450
00:02:32.015	0.150
00:02:32.475	0.000
00:04:44.924	0.000
00:04:45.301	0.440
00:04:45.721	0.860
00:04:46.151	1.290
00:04:46.581	1.720
00:04:47.013	2.140
00:04:47.472	2.170
00:04:48.984	2.170
00:04:49.311	2.180
00:04:49.731	2.200
00:04:50.151	2.210
00:04:50.571	2.230
00:04:50.991	2.250
00:04:51.411	2.270
00:04:51.831	2.290
00:04:52.261	2.310
00:04:52.681	2.330
00:04:53.101	2.350
00:04:53.521	2.380
00:04:53.941	2.400
00:04:54.361	2.420
00:04:54.781	2.440
00:04:55.211	2.450
00:04:55.631	2.470
00:04:56.051	2.490
00:04:56.481	2.510
00:04:56.901	2.530
00:04:57.321	2.550
00:04:57.741	2.570
00:04:58.161	2.590
00:04:58.581	2.620
00:04:59.001	2.640
00:04:59.421	2.660
00:04:59.841	2.690
00:05:00.261	2.710
00:05:00.681	2.730
00:05:01.101	2.760
00:05:01.521	2.790
00:05:01.941	2.810
00:05:02.371	2.840
00:05:02.791	2.870
00:05:03.210	2.900
00:05:03.631	2.930
00:05:04.051	2.960
00:05:04.491	2.990
00:05:04.911	3.020
00:05:05.330	3.050
00:05:05.751	3.090
00:05:06.170	3.120
00:05:06.591	3.150
00:05:07.011	3.190
00:05:07.441	3.220
00:05:07.861	3.260
00:05:08.280	3.300
00:05:08.711	3.330
00:05:09.130	3.370
00:05:09.551	3.410
00:05:09.971	3.450
00:05:10.390	3.480
00:05:10.810	3.530
00:05:11.230	3.560
00:05:11.650	3.600
00:05:12.070	3.650
00:05:12.490	3.690
00:05:12.910	3.730
00:05:13.330	3.780
00:05:13.750	3.820
00:05:14.170	3.860
00:05:14.590	3.910
00:05:15.010	3.950
00:05:15.430	4.000
00:05:15.850	4.050
00:05:16.270	4.090
00:05:16.700	4.140
00:05:17.120	4.190
00:05:17.540	4.230
00:05:17.960	4.290
00:05:18.380	4.330
00:05:18.800	4.380
00:05:19.220	4.440
00:05:19.640	4.490
00:05:20.060	4.540
00:05:20.480	4.590
00:05:20.900	4.640
00:05:21.320	4.690
00:05:21.750	4.750
00:05:22.170	4.810
00:05:22.590	4.860
00:05:23.010	4.920
00:05:23.430	4.970
00:05:23.850	5.030
00:05:24.270	5.080
00:05:24.690	5.130
00:05:25.110	5.190
00:05:25.530	5.240
00:05:25.950	5.300
00:05:26.370	5.350
00:05:26.790	5.400
00:05:27.210	5.450
00:05:27.630	5.500
00:05:28.050	5.560
00:05:28.470	5.610
00:05:28.890	5.660
00:05:29.310	5.710
00:05:29.730	5.760
00:05:30.150	5.820
00:05:30.570	5.860
00:05:30.990	5.920
00:05:31.410	5.970
00:05:31.830	6.010
00:05:32.250	6.070
00:05:32.670	6.110
00:05:33.090	6.170
00:05:33.510	6.210
00:05:33.930	6.260
00:05:34.350	6.310
00:05:34.770	6.360
00:05:35.190	6.410
00:05:35.610	6.460
00:05:36.030	6.500
00:05:36.450	6.550
00:05:36.870	6.600
00:05:37.290	6.650
00:05:37.709	6.690
00:05:38.130	6.740
00:05:38.550	6.790
00:05:38.980	6.830
00:05:39.400	6.880
