time	Pump B:Pump speed [µL/min]
00:00:00.072	0.000
00:00:16.218	0.000
00:00:16.374	4.154
00:00:16.794	5.924
00:00:17.214	8.586
00:00:17.644	9.412
00:00:18.078	8.885
00:00:18.498	9.701
00:00:18.928	8.627
00:00:19.358	7.196
00:00:19.788	8.900
00:00:20.208	10.691
00:00:20.658	9.694
00:00:21.098	7.613
00:00:21.528	3.276
00:00:21.948	0.000
00:00:24.497	0.000
00:00:25.347	0.697
00:00:25.768	0.000
00:00:26.198	0.000
00:00:26.617	1.514
00:00:27.047	0.000
00:00:28.777	0.000
00:00:29.637	0.593
00:00:30.067	2.179
00:00:30.497	0.000
00:00:30.937	0.278
00:00:31.387	1.467
00:00:31.827	0.000
00:00:32.287	1.058
00:00:32.717	0.000
00:00:33.137	1.167
00:00:33.567	0.000
00:00:34.007	1.083
00:00:34.447	1.363
00:00:34.877	0.000
00:00:35.717	0.000
00:00:36.157	0.211
00:00:36.597	0.000
00:00:37.037	1.755
00:00:37.457	0.000
00:00:37.887	0.000
00:00:38.317	0.863
00:00:38.757	0.000
00:00:39.177	0.383
00:00:39.617	0.000
00:00:40.057	1.730
00:00:40.517	0.000
00:00:40.937	0.986
00:00:41.367	0.816
00:00:41.817	0.000
00:00:42.237	0.178
00:00:42.677	0.877
00:00:43.097	0.000
00:00:43.517	0.911
00:00:43.957	2.046
00:00:44.387	0.000
00:00:44.853	0.000
00:00:46.637	0.000
00:00:47.017	0.869
00:00:47.447	0.146
00:00:47.877	0.000
00:00:48.307	0.399
00:00:48.748	0.000
00:00:49.693	1.549
00:00:50.143	0.000
00:00:50.983	1.218
00:00:51.423	0.023
00:00:52.727	0.023
00:00:52.823	0.000
00:01:05.907	0.000
00:01:06.413	0.211
00:01:06.863	0.264
00:01:07.293	0.069
00:01:07.748	0.000
00:01:40.376	0.000
00:01:40.867	0.137
00:01:41.337	0.000
00:01:48.496	0.000
00:01:49.226	0.001
00:01:49.696	0.000
00:01:55.586	0.000
00:01:55.796	0.026
00:01:56.266	0.000
00:02:01.675	0.000
00:02:01.906	0.031
00:02:02.376	0.000
00:02:11.815	0.000
00:02:11.826	-38.000
00:02:32.095	-38.000
00:02:32.475	0.000
00:04:44.924	0.000
00:04:45.301	60.000
00:04:46.954	60.000
00:04:47.472	0.000
00:04:48.871	0.427
00:04:49.311	2.120
00:04:49.731	1.735
00:04:50.151	2.721
00:04:50.571	2.415
00:04:50.991	2.954
00:04:51.411	2.817
00:04:51.831	2.878
00:04:52.261	3.122
00:04:52.681	2.715
00:04:53.101	2.944
00:04:53.521	3.896
00:04:53.941	3.002
00:04:54.361	2.238
00:04:54.781	2.112
00:04:55.211	2.016
00:04:55.631	2.111
00:04:56.051	2.688
00:04:56.481	3.512
00:04:56.901	2.857
00:04:57.321	3.048
00:04:57.741	3.107
00:04:58.161	3.238
00:04:58.581	3.372
00:04:59.001	3.787
00:04:59.421	3.317
00:04:59.841	3.473
00:05:00.261	3.601
00:05:00.681	3.914
00:05:01.101	4.330
00:05:01.521	3.479
00:05:01.941	3.881
00:05:02.371	3.425
00:05:02.791	4.175
00:05:03.210	4.640
00:05:03.631	4.261
00:05:04.051	4.311
00:05:04.491	4.482
00:05:04.911	4.737
00:05:05.330	4.203
00:05:05.751	4.456
00:05:06.170	5.119
00:05:06.591	5.107
00:05:07.011	5.055
00:05:07.441	4.569
00:05:07.861	5.636
00:05:08.280	4.464
00:05:08.710	5.336
00:05:09.130	5.670
00:05:09.551	5.712
00:05:09.971	5.646
00:05:10.390	5.121
00:05:10.810	6.438
00:05:11.230	5.864
00:05:11.650	5.952
00:05:12.070	6.600
00:05:12.490	5.414
00:05:12.910	5.796
00:05:13.330	7.021
00:05:13.750	6.030
00:05:14.170	5.709
00:05:14.590	6.460
00:05:15.010	6.697
00:05:15.430	6.839
00:05:15.850	6.297
00:05:16.270	6.236
00:05:16.700	7.611
00:05:17.120	6.442
00:05:17.540	6.651
00:05:17.960	7.339
00:05:18.380	7.087
00:05:18.800	7.446
00:05:19.220	6.354
00:05:19.640	7.167
00:05:20.060	8.341
00:05:20.480	6.942
00:05:20.900	8.186
00:05:21.320	7.155
00:05:21.750	7.419
00:05:22.170	7.895
00:05:22.590	7.739
00:05:23.010	8.234
00:05:23.430	7.998
00:05:23.850	8.893
00:05:24.270	7.451
00:05:24.690	7.949
00:05:25.110	7.158
00:05:25.530	7.420
00:05:25.950	7.855
00:05:26.370	7.589
00:05:26.790	8.265
00:05:27.210	7.059
00:05:27.630	7.428
00:05:28.050	6.880
00:05:28.470	7.399
00:05:28.890	8.080
00:05:29.310	7.237
00:05:29.730	7.659
00:05:30.150	6.515
00:05:30.570	7.171
00:05:30.990	7.555
00:05:31.410	7.163
00:05:31.830	7.481
00:05:32.250	6.670
00:05:32.670	6.846
00:05:33.090	7.671
00:05:33.510	6.975
00:05:33.930	7.135
00:05:34.350	6.364
00:05:34.770	6.833
00:05:35.190	7.592
00:05:35.610	6.231
00:05:36.030	6.921
00:05:36.450	6.921
00:05:36.870	6.900
00:05:37.290	6.778
00:05:37.709	5.976
00:05:38.130	6.139
00:05:38.550	7.537
00:05:38.980	6.417
00:05:39.400	6.330
00:05:39.819	6.869
00:05:40.240	6.360
00:05:40.660	7.103
00:05:41.080	6.059
00:05:41.500	6.383
00:05:41.930	6.951
00:05:42.349	5.764
00:05:42.769	6.140
00:05:43.199	7.250
00:05:43.619	6.268
00:05:44.040	5.942
00:05:44.459	7.104
00:05:44.879	6.083
00:05:45.299	6.204
00:05:45.719	6.428
00:05:46.139	6.412
00:05:46.559	6.238
00:05:46.989	5.746
00:05:47.409	6.597
00:05:47.829	6.387
00:05:48.249	6.188
00:05:48.669	5.822
00:05:49.089	7.134
00:05:49.509	5.575
00:05:49.929	6.277
00:05:50.349	6.772
00:05:50.769	5.719
00:05:51.189	5.660
00:05:51.609	6.765
00:05:52.029	5.392
00:05:52.449	5.773
00:05:52.869	6.509
00:05:53.289	5.567
00:05:53.709	5.528
00:05:54.129	6.862
00:05:54.549	5.419
00:05:54.969	5.546
00:05:55.389	6.744
00:05:55.809	5.473
00:05:56.229	5.458
00:05:56.649	6.018
00:05:57.069	5.194
00:05:57.489	5.352
00:05:57.909	6.032
00:05:58.339	4.939
00:05:58.759	5.704
00:05:59.179	5.425
00:05:59.599	5.927
00:06:00.019	5.474
00:06:00.439	5.227
00:06:00.859	6.054
00:06:01.289	4.574
00:06:01.709	4.970
00:06:02.129	5.787
00:06:02.549	5.047
00:06:02.969	5.226
00:06:03.389	5.240
00:06:03.809	5.515
00:06:04.229	4.537
00:06:04.649	4.918
00:06:05.076	5.807
00:06:05.489	4.719
00:06:05.909	5.031
00:06:06.329	4.641
00:06:06.749	5.381
00:06:07.179	4.576
00:06:07.599	4.647
00:06:08.019	5.239
00:06:08.449	4.621
00:06:08.869	4.771
00:06:09.289	4.331
00:06:09.709	5.158
00:06:10.134	4.230
00:06:10.549	4.525
00:06:10.969	4.468
00:06:11.399	5.203
00:06:11.819	4.101
00:06:12.238	4.586
00:06:12.659	4.302
00:06:13.079	5.005
00:06:13.499	4.157
00:06:13.919	4.434
00:06:14.339	4.153
00:06:14.759	4.996
00:06:15.179	3.975
00:06:15.599	4.234
00:06:16.019	4.035
00:06:16.439	4.468
