time	Pump C:Actual flow [µL/min]
00:00:00.072	0.010
00:00:00.365	-0.001
00:00:01.315	0.002
00:00:01.735	0.006
00:00:02.205	-0.001
00:00:02.665	0.006
00:00:03.569	0.002
00:00:05.068	0.002
00:00:05.434	-0.001
00:00:05.894	-0.005
00:00:06.334	0.002
00:00:06.748	0.006
00:00:07.184	0.002
00:00:08.454	0.006
00:00:08.874	0.002
00:00:09.304	0.010
00:00:09.734	-0.001
00:00:10.574	0.006
00:00:11.004	-0.001
00:00:11.434	0.002
00:00:12.294	0.006
00:00:12.779	-0.009
00:00:13.274	0.002
00:00:13.749	-0.001
00:00:14.224	0.002
00:00:14.704	-0.169
00:00:15.144	0.166
00:00:15.564	0.013
00:00:16.009	-0.057
00:00:16.444	2.098
00:00:16.864	5.935
00:00:17.284	9.643
00:00:17.724	13.698
00:00:18.164	17.162
00:00:18.594	20.992
00:00:19.014	18.338
00:00:19.444	16.146
00:00:19.874	13.472
00:00:20.310	11.533
00:00:20.749	9.942
00:00:21.184	7.584
00:00:21.614	8.521
00:00:22.044	8.276
00:00:22.464	8.320
00:00:22.884	8.035
00:00:23.304	8.356
00:00:23.734	8.125
00:00:24.154	8.298
00:00:24.584	8.208
00:00:25.019	8.262
00:00:25.434	8.215
00:00:25.854	8.049
00:00:26.284	10.843
00:00:26.704	21.040
00:00:27.134	28.925
00:00:27.554	28.372
00:00:27.984	27.880
00:00:28.434	28.017
00:00:28.864	28.562
00:00:29.284	28.544
00:00:29.724	28.896
00:00:30.174	29.364
00:00:30.614	29.730
00:00:31.039	29.796
00:00:31.479	30.173
00:00:31.929	30.382
00:00:32.374	30.671
00:00:32.814	31.400
00:00:33.239	31.421
00:00:33.654	31.707
00:00:34.109	31.842
00:00:34.543	32.036
00:00:34.964	32.127
00:00:35.384	32.912
00:00:35.804	32.706
00:00:36.243	33.129
00:00:36.684	33.125
00:00:37.123	33.603
00:00:37.553	33.531
00:00:37.973	33.983
00:00:38.408	34.283
00:00:38.843	34.247
00:00:39.273	34.624
00:00:39.723	34.410
00:00:40.148	34.367
00:00:40.603	34.356
00:00:41.038	34.233
00:00:41.458	34.309
00:00:41.903	33.965
00:00:42.328	34.236
00:00:42.763	33.961
00:00:43.183	34.233
00:00:43.608	34.226
00:00:44.043	34.493
00:00:44.488	34.859
00:00:44.928	34.653
00:00:45.363	34.830
00:00:45.813	34.540
00:00:46.243	34.732
00:00:46.668	34.935
00:00:47.108	34.526
00:00:47.533	34.653
00:00:47.973	34.663
00:00:48.393	34.725
00:00:48.838	34.490
00:00:49.298	34.519
00:00:49.773	34.609
00:00:50.213	34.638
00:00:50.633	34.573
00:00:51.058	34.472
00:00:51.493	34.508
00:00:52.727	34.508
00:00:52.903	58.882
00:00:53.388	32.213
00:00:53.833	22.689
00:00:54.253	17.652
00:00:54.683	13.479
00:00:55.118	10.947
00:00:55.553	8.680
00:00:55.988	7.227
00:00:56.428	6.081
00:00:56.853	4.980
00:00:57.298	4.262
00:00:57.733	3.566
00:00:58.163	3.092
00:00:58.603	2.656
00:00:59.043	2.336
00:00:59.463	2.087
00:00:59.898	1.831
00:01:00.333	1.653
00:01:00.773	1.469
00:01:01.203	1.349
00:01:01.643	1.211
00:01:02.083	1.117
00:01:02.523	1.030
00:01:02.943	0.946
00:01:03.363	0.882
00:01:03.803	0.808
00:01:04.238	0.764
00:01:04.668	0.730
00:01:05.103	0.693
00:01:05.583	0.648
00:01:06.483	14.890
00:01:06.938	21.447
00:01:07.368	23.980
00:01:07.828	22.810
00:01:08.268	21.179
00:01:08.717	19.515
00:01:09.153	18.893
00:01:09.598	19.068
00:01:10.022	19.746
00:01:10.453	20.303
00:01:10.893	20.402
00:01:11.327	20.178
00:01:11.797	19.808
00:01:12.222	19.728
00:01:12.672	20.014
00:01:13.112	19.948
00:01:13.542	20.215
00:01:14.417	20.032
00:01:14.867	19.816
00:01:15.312	20.017
00:01:15.767	20.120
00:01:16.202	20.178
00:01:16.642	20.131
00:01:17.072	19.819
00:01:17.527	19.783
00:01:17.987	20.087
00:01:18.432	20.208
00:01:18.877	20.116
00:01:19.327	19.918
00:01:19.772	19.592
00:01:20.217	19.948
00:01:20.652	20.061
00:01:21.107	20.325
00:01:21.557	19.768
00:01:22.007	19.852
00:01:22.457	20.028
00:01:22.907	19.951
00:01:23.347	20.186
00:01:23.807	19.882
00:01:24.242	19.768
00:01:24.707	20.014
00:01:25.177	20.208
00:01:25.627	20.263
00:01:26.097	19.988
00:01:26.557	19.812
00:01:27.017	20.080
00:01:27.477	20.171
00:01:27.947	20.222
00:01:28.397	19.907
00:01:28.847	19.849
00:01:29.302	19.860
00:01:29.767	20.175
00:01:30.237	20.160
00:01:30.707	19.680
00:01:31.177	19.970
00:01:31.647	20.255
00:01:32.107	20.094
00:01:32.547	19.973
00:01:33.017	19.783
00:01:33.477	19.973
00:01:33.947	20.076
00:01:34.412	20.208
00:01:34.877	19.860
00:01:35.352	19.871
00:01:35.817	20.153
00:01:36.287	20.090
00:01:36.747	19.970
00:01:37.217	19.797
00:01:37.687	20.090
00:01:38.157	20.153
00:01:38.627	19.797
00:01:39.087	19.889
00:01:39.547	19.838
00:01:40.017	20.252
00:01:40.481	19.973
00:01:40.947	19.856
00:01:41.429	20.112
00:01:41.877	20.186
00:01:42.347	20.116
00:01:42.817	19.808
00:01:43.287	19.940
00:01:43.757	20.208
00:01:44.227	20.032
00:01:44.696	19.783
00:01:45.166	20.043
00:01:45.621	20.069
00:01:46.051	20.211
00:01:46.486	20.142
00:01:46.956	19.830
00:01:47.896	20.050
00:01:48.366	20.065
00:01:48.836	19.786
00:01:49.776	20.101
00:01:50.246	20.182
00:01:50.716	19.819
00:01:51.186	19.966
00:01:51.651	20.197
00:01:52.116	20.010
00:01:52.586	19.918
00:01:53.056	19.852
00:01:53.526	20.120
00:01:53.996	20.167
00:01:54.466	19.805
00:01:54.936	19.951
00:01:55.406	20.142
00:01:55.876	20.058
00:01:56.346	19.852
00:01:56.816	19.772
00:01:57.286	20.266
00:01:57.756	20.193
00:01:58.226	19.812
00:01:58.696	19.860
00:01:59.166	20.175
00:01:59.636	20.120
00:02:00.106	20.076
00:02:00.576	19.786
00:02:01.046	19.981
00:02:01.516	20.127
00:02:01.986	19.933
00:02:02.456	19.775
00:02:02.926	20.047
00:02:03.396	20.182
00:02:03.866	20.090
00:02:04.336	19.801
00:02:04.806	20.032
00:02:05.276	20.076
00:02:05.746	19.797
00:02:06.276	3.525
00:02:06.746	0.444
00:02:07.216	0.103
00:02:07.686	0.032
00:02:08.146	0.010
00:02:09.086	-0.001
00:02:09.556	0.006
00:02:10.026	-0.013
00:02:10.496	-0.001
00:02:10.966	0.006
00:02:11.456	0.010
00:02:11.906	-0.001
00:02:12.376	-0.005
00:02:12.846	0.002
00:02:13.316	-0.009
00:02:13.786	0.002
00:02:14.256	-0.001
00:02:14.726	-0.009
00:02:15.196	0.002
00:02:15.666	0.013
00:02:16.136	-0.005
00:02:16.606	0.010
00:02:17.076	0.006
00:02:17.546	0.013
00:02:18.015	-0.005
00:02:18.506	-0.016
00:02:18.935	-0.001
00:02:19.405	0.002
00:02:20.345	0.006
00:02:21.285	-0.005
00:02:21.755	0.006
00:02:22.225	-0.005
00:02:22.695	0.006
00:02:23.165	-0.005
00:02:23.635	-0.001
00:02:24.105	0.002
00:02:24.575	-0.001
00:02:25.045	0.006
00:02:25.515	-0.001
00:02:25.985	0.006
00:02:26.455	0.002
00:02:26.925	-0.005
00:02:27.395	-0.009
00:02:27.865	-0.005
00:02:28.335	0.002
00:02:28.805	0.010
00:02:29.275	0.002
00:02:30.215	-0.001
00:02:30.685	-0.005
00:02:31.155	-0.009
00:02:31.625	0.002
00:02:32.095	-0.005
00:02:33.025	0.006
00:02:33.495	-0.009
