time	Pump C:Pressure [bar]
00:00:00.072	0.000
00:00:00.855	-0.800
00:00:01.315	0.000
00:00:04.048	0.000
00:00:04.504	-0.800
00:00:04.974	0.000
00:00:07.098	0.000
00:00:07.604	-0.800
00:00:08.024	0.000
00:00:16.218	0.000
00:00:16.444	1.700
00:00:16.864	3.500
00:00:17.284	6.900
00:00:17.724	9.500
00:00:18.164	11.300
00:00:18.594	13.000
00:00:19.444	12.100
00:00:20.310	11.300
00:00:20.749	12.100
00:00:21.184	11.300
00:00:21.614	12.100
00:00:22.884	11.300
00:00:23.304	12.100
00:00:23.734	11.300
00:00:25.348	11.300
00:00:26.284	13.000
00:00:26.704	16.400
00:00:27.134	19.000
00:00:29.398	19.000
00:00:30.174	19.900
00:00:31.428	19.900
00:00:31.929	20.800
00:00:33.458	20.800
00:00:34.109	21.600
00:00:34.964	20.800
00:00:35.384	21.600
00:00:37.517	21.600
00:00:38.408	22.500
00:00:52.727	22.500
00:00:52.903	19.900
00:00:53.388	13.000
00:00:53.833	9.500
00:00:54.253	6.900
00:00:54.683	5.200
00:00:55.118	4.300
00:00:55.553	3.500
00:00:55.988	2.600
00:00:56.428	1.700
00:00:57.733	0.900
00:00:59.817	0.900
00:00:59.898	0.000
00:01:01.203	0.900
00:01:01.643	0.000
00:01:05.907	0.000
00:01:06.483	6.900
00:01:06.938	8.700
00:01:07.368	9.500
00:01:07.828	8.700
00:01:08.268	7.800
00:01:20.096	7.800
00:01:20.652	8.700
00:01:21.107	7.800
00:01:25.166	7.800
00:01:25.177	8.700
00:01:25.627	7.800
00:01:29.226	7.800
00:01:29.767	8.700
00:01:30.237	7.800
00:01:31.647	8.700
00:01:32.107	7.800
00:01:54.576	7.800
00:01:55.406	8.700
00:01:55.876	7.800
00:02:05.725	7.800
00:02:06.276	-0.800
00:02:06.746	0.000
00:02:07.216	-0.800
00:02:08.775	-0.800
00:02:09.086	0.000
00:02:10.496	-0.800
00:02:10.966	0.000
00:02:11.456	-0.800
00:02:11.906	0.000
00:02:12.376	-0.800
00:02:20.935	-0.800
00:02:21.755	0.000
00:02:22.225	-0.800
00:02:23.985	-0.800
00:02:24.105	0.000
00:02:25.045	-0.800
00:02:25.985	0.000
00:02:26.925	-0.800
00:02:27.865	0.000
00:02:28.335	-0.800
00:02:31.075	-0.800
00:02:31.625	0.000
00:02:32.095	-0.800
00:02:32.555	0.000
00:02:53.386	0.000
00:02:53.804	-0.800
00:02:54.234	0.000
00:02:55.416	0.000
00:02:55.954	-0.800
00:02:56.384	0.000
00:03:00.486	0.000
00:03:01.124	-0.800
00:03:01.554	0.000
00:03:05.556	0.000
00:03:06.284	-0.800
00:03:06.714	0.000
00:03:15.696	0.000
00:03:16.184	-0.800
00:03:16.614	0.000
00:03:18.736	0.000
00:03:19.624	-0.800
00:03:20.064	0.000
00:03:21.776	0.000
00:03:22.654	-0.800
00:03:23.084	0.000
00:03:28.876	0.000
00:03:29.113	-0.800
00:03:29.543	0.000
00:03:32.935	0.000
00:03:33.863	-0.800
00:03:34.293	0.000
00:03:34.723	-0.800
00:03:35.153	0.000
00:03:36.443	-0.800
00:03:37.303	0.000
00:03:37.733	-0.800
00:03:38.163	0.000
00:03:39.023	-0.800
00:03:39.453	0.000
00:03:40.323	-0.800
00:03:40.753	0.000
