time	Pump C:Pump speed [µL/min]
00:00:00.072	0.000
00:00:15.208	0.000
00:00:16.009	0.400
00:00:16.444	25.028
00:00:16.864	29.807
00:00:17.284	32.071
00:00:17.724	37.237
00:00:18.164	37.071
00:00:18.594	24.333
00:00:19.014	15.536
00:00:19.444	13.034
00:00:19.874	15.607
00:00:20.310	13.250
00:00:20.749	5.809
00:00:21.184	13.522
00:00:21.614	8.095
00:00:22.044	8.433
00:00:22.464	6.942
00:00:22.884	9.086
00:00:23.304	6.947
00:00:23.734	8.400
00:00:24.154	7.642
00:00:24.584	7.661
00:00:25.019	8.028
00:00:25.434	7.643
00:00:25.854	9.625
00:00:26.284	39.216
00:00:26.704	34.410
00:00:27.134	30.539
00:00:27.554	26.740
00:00:27.984	29.972
00:00:28.434	30.653
00:00:28.864	28.191
00:00:29.284	31.275
00:00:29.724	31.409
00:00:30.174	30.320
00:00:30.614	30.408
00:00:31.039	32.278
00:00:31.479	31.616
00:00:31.929	32.767
00:00:32.374	32.634
00:00:32.814	30.194
00:00:33.239	32.197
00:00:33.654	32.209
00:00:34.109	33.564
00:00:34.543	34.253
00:00:34.964	35.622
00:00:35.384	30.906
00:00:35.804	34.417
00:00:36.244	33.403
00:00:36.684	35.443
00:00:37.123	34.204
00:00:37.553	36.908
00:00:37.974	35.158
00:00:38.408	34.239
00:00:38.843	36.848
00:00:39.273	35.458
00:00:39.723	36.053
00:00:40.148	35.788
00:00:40.603	35.033
00:00:41.038	35.473
00:00:41.458	34.046
00:00:41.903	36.464
00:00:42.328	33.316
00:00:42.763	35.017
00:00:43.183	31.967
00:00:43.608	32.773
00:00:44.043	34.194
00:00:44.488	34.268
00:00:44.928	35.712
00:00:45.363	34.183
00:00:45.813	36.121
00:00:46.243	34.710
00:00:46.668	33.085
00:00:47.108	36.219
00:00:47.533	35.250
00:00:47.973	34.672
00:00:48.393	34.628
00:00:48.838	36.442
00:00:49.298	36.028
00:00:49.773	35.405
00:00:50.213	35.020
00:00:50.633	35.230
00:00:51.058	35.863
00:00:51.493	35.808
00:00:52.727	35.808
00:00:52.903	0.000
00:01:05.907	0.000
00:01:06.483	35.939
00:01:06.938	32.428
00:01:07.368	23.244
00:01:07.828	18.734
00:01:08.268	16.360
00:01:08.717	17.891
00:01:09.153	20.924
00:01:09.598	22.296
00:01:10.022	21.248
00:01:10.453	19.521
00:01:10.893	18.792
00:01:11.328	19.516
00:01:11.797	20.974
00:01:12.222	21.181
00:01:12.672	19.378
00:01:13.112	19.861
00:01:13.542	18.617
00:01:13.982	19.068
00:01:14.417	19.894
00:01:14.867	20.953
00:01:15.312	19.675
00:01:15.767	19.222
00:01:16.202	19.045
00:01:16.642	19.350
00:01:17.072	21.120
00:01:17.527	21.276
00:01:17.987	19.372
00:01:18.432	18.706
00:01:18.877	19.173
00:01:19.327	20.507
00:01:19.772	22.113
00:01:20.217	20.412
00:01:20.652	20.057
00:01:21.107	18.764
00:01:21.557	21.671
00:01:22.007	21.155
00:01:22.457	19.933
