time	Pump D:Actual flow [µL/min]
00:00:00.072	0.012
00:00:00.440	0.018
00:00:00.905	-0.001
00:00:01.399	-0.008
00:00:01.860	0.005
00:00:03.038	0.005
00:00:03.204	-0.008
00:00:03.649	-0.001
00:00:04.119	-0.014
00:00:04.589	0.012
00:00:05.054	-0.008
00:00:05.514	-0.001
00:00:05.974	-0.008
00:00:06.414	0.005
00:00:06.818	-0.008
00:00:07.675	0.012
00:00:08.099	0.005
00:00:08.524	-0.001
00:00:08.954	0.012
00:00:09.379	-0.021
00:00:09.804	-0.014
00:00:10.654	0.018
00:00:11.074	0.024
00:00:11.509	0.005
00:00:11.939	-0.001
00:00:12.374	0.005
00:00:12.869	0.050
00:00:13.354	0.012
00:00:13.829	-0.001
00:00:14.304	-0.033
00:00:14.784	0.230
00:00:15.228	0.159
00:00:15.634	0.018
00:00:16.084	-0.059
00:00:16.514	-0.682
00:00:16.934	0.243
00:00:17.354	-0.367
00:00:17.804	-0.059
00:00:18.244	-0.091
00:00:18.674	0.423
00:00:19.099	7.442
00:00:19.529	12.389
00:00:19.954	17.535
00:00:20.384	24.061
00:00:20.829	28.924
00:00:21.269	33.210
00:00:21.694	32.839
00:00:22.124	32.441
00:00:22.544	32.216
00:00:22.964	32.043
00:00:23.389	32.136
00:00:23.814	32.110
00:00:24.234	32.043
00:00:24.669	31.953
00:00:25.104	31.876
00:00:25.524	31.965
00:00:25.949	31.876
00:00:26.364	27.151
00:00:26.784	17.920
00:00:27.214	11.968
00:00:27.634	12.371
00:00:28.069	12.246
00:00:28.519	12.102
00:00:28.944	11.653
00:00:29.364	11.321
00:00:29.804	11.079
00:00:30.229	10.837
00:00:30.659	10.702
00:00:31.109	10.155
00:00:31.554	9.977
00:00:31.999	9.605
00:00:32.444	9.356
00:00:32.874	9.017
00:00:33.304	8.661
00:00:33.724	8.528
00:00:34.174	8.131
00:00:34.603	7.952
00:00:35.034	7.782
00:00:35.454	7.574
00:00:35.879	7.404
00:00:36.319	7.226
00:00:36.758	6.824
00:00:37.193	6.508
00:00:37.613	6.484
00:00:38.043	6.322
00:00:38.483	5.991
00:00:38.913	5.748
00:00:39.333	5.697
00:00:39.778	5.226
00:00:40.228	5.028
00:00:40.673	4.984
00:00:41.103	4.510
00:00:41.538	4.560
00:00:41.973	4.316
00:00:42.403	4.079
00:00:42.833	3.743
00:00:43.253	3.615
00:00:43.683	3.130
00:00:44.118	1.617
00:00:44.558	0.326
00:00:45.003	-0.098
00:00:45.438	0.191
00:00:45.883	0.211
00:00:46.303	0.243
00:00:47.183	0.108
00:00:47.608	0.127
00:00:48.033	0.044
00:00:48.468	-0.008
00:00:48.918	0.050
00:00:49.858	-0.072
00:00:50.283	0.024
00:00:50.703	0.044
00:00:51.133	0.095
00:00:51.568	0.146
00:00:52.727	0.146
00:00:52.988	37.877
00:00:53.468	21.755
00:00:53.903	13.553
00:00:54.333	9.580
00:00:54.753	6.956
00:00:55.193	4.869
00:00:55.628	3.743
00:00:56.063	2.827
00:00:56.503	2.274
00:00:56.928	1.871
00:00:57.378	1.549
00:00:57.803	1.330
00:00:58.233	1.131
00:00:58.673	1.015
00:00:59.113	0.885
00:00:59.543	0.795
00:00:59.973	0.725
00:01:00.403	0.673
00:01:00.848	0.628
00:01:01.273	0.564
00:01:01.718	0.513
00:01:02.168	0.480
00:01:02.593	0.442
00:01:03.013	0.436
00:01:03.443	0.397
00:01:03.873	0.358
00:01:04.748	0.346
00:01:05.193	0.320
00:01:05.668	0.307
00:01:06.558	-0.059
00:01:07.012	-0.008
00:01:07.448	0.365
00:01:07.908	0.551
00:01:08.348	0.455
00:01:08.792	0.346
00:01:09.228	0.288
00:01:09.673	0.224
00:01:10.092	0.185
00:01:10.527	0.140
00:01:10.962	0.134
00:01:11.872	0.140
00:01:12.747	0.114
00:01:13.187	0.146
00:01:13.617	0.114
00:01:14.061	0.121
00:01:14.492	0.140
00:01:14.942	0.121
00:01:15.387	0.095
00:01:15.842	0.082
00:01:16.277	0.108
00:01:16.712	0.095
00:01:17.147	0.108
00:01:18.067	0.082
00:01:18.507	0.089
00:01:18.957	0.101
00:01:19.407	0.089
00:01:19.842	0.108
00:01:20.297	0.069
00:01:21.187	0.076
00:01:21.632	0.095
00:01:22.082	0.076
00:01:22.532	0.050
00:01:22.982	0.076
00:01:23.427	0.082
00:01:23.882	0.095
00:01:24.317	0.069
00:01:24.787	0.057
00:01:25.252	0.069
00:01:25.707	0.076
00:01:27.097	0.063
00:01:27.557	0.082
00:01:28.027	0.063
00:01:28.477	0.082
00:01:28.927	0.050
00:01:29.847	0.063
00:01:30.787	0.082
00:01:31.257	0.031
00:01:31.722	0.057
00:01:32.627	0.069
00:01:33.097	0.063
00:01:34.027	0.031
00:01:34.487	0.050
00:01:34.957	0.057
00:01:35.427	0.037
00:01:36.827	0.063
00:01:37.297	0.037
00:01:38.237	0.063
00:01:38.702	0.057
00:01:39.167	0.044
00:01:39.627	0.031
00:01:40.557	0.044
00:01:41.027	0.037
00:01:41.491	0.018
00:01:41.957	0.037
00:01:42.427	0.044
00:01:42.897	0.050
00:01:43.367	0.037
00:01:43.837	0.031
00:01:44.306	0.069
00:01:44.777	0.037
00:01:45.246	0.024
00:01:46.121	0.018
00:01:46.566	0.024
00:01:47.036	0.044
00:01:47.976	0.031
00:01:48.446	0.069
00:01:48.916	0.044
00:01:49.386	0.031
00:01:49.856	0.018
00:01:50.326	0.050
00:01:50.796	0.037
00:01:51.726	0.024
00:01:53.136	0.037
00:01:53.606	0.031
00:01:54.076	0.044
00:01:54.546	0.031
00:01:55.016	0.037
00:01:55.486	0.024
00:01:55.956	0.012
00:01:56.427	0.018
00:01:57.366	0.005
00:01:57.836	0.018
00:01:58.776	0.024
00:01:59.246	0.044
00:02:00.186	0.037
00:02:00.656	0.031
00:02:01.126	0.018
00:02:01.596	0.005
00:02:02.066	0.031
00:02:02.536	0.037
00:02:03.006	0.024
00:02:03.946	0.037
00:02:04.416	0.031
00:02:04.886	0.037
00:02:05.826	0.031
00:02:06.356	0.057
00:02:06.826	-0.001
00:02:07.296	-0.014
00:02:07.766	0.024
00:02:08.226	-0.021
00:02:08.696	-0.014
00:02:09.166	0.012
00:02:09.636	-0.001
00:02:10.106	-0.008
00:02:10.576	0.005
00:02:11.046	-0.001
00:02:11.986	-0.001
00:02:12.456	-0.014
00:02:13.396	-0.008
00:02:13.866	-0.001
00:02:14.336	-0.008
00:02:14.806	-0.001
00:02:15.865	-0.001
00:02:16.686	-0.014
00:02:17.156	0.005
00:02:17.626	-0.008
00:02:18.095	-0.014
00:02:18.566	0.005
00:02:19.015	-0.001
00:02:19.485	0.005
00:02:19.955	-0.014
00:02:20.895	-0.008
00:02:21.365	-0.001
00:02:21.835	0.005
00:02:22.305	-0.001
00:02:22.775	-0.014
00:02:23.245	-0.008
00:02:23.715	-0.014
00:02:24.185	0.005
00:02:24.655	-0.008
00:02:25.125	-0.014
00:02:25.595	-0.001
00:02:26.535	-0.008
00:02:27.005	0.005
00:02:27.945	0.012
00:02:28.415	-0.008
00:02:28.885	-0.001
00:02:29.355	-0.014
00:02:29.825	0.005
00:02:30.295	-0.001
00:02:30.765	-0.014
00:02:31.705	-0.008
00:02:32.175	-0.001
00:02:32.635	0.012
00:02:33.105	-0.008
00:02:34.045	-0.014
00:02:34.515	-0.001
00:02:36.145	-0.001
00:02:36.395	-0.008
00:02:36.865	-0.001
00:02:38.175	-0.001
00:02:38.275	0.018
00:02:38.745	-0.008
00:02:39.685	0.012
00:02:40.155	-0.001
00:02:41.095	-0.008
00:02:41.565	0.005
00:02:42.035	-0.021
00:02:42.505	-0.001
00:02:43.445	-0.008
00:02:43.915	-0.027
00:02:44.345	0.005
00:02:44.775	-0.014
00:02:45.634	-0.001
00:02:46.064	0.005
00:02:46.495	-0.001
00:02:46.925	0.012
00:02:47.359	-0.001
00:02:47.795	-0.008
00:02:48.225	-0.014
00:02:48.690	0.012
00:02:49.145	0.006
00:02:49.575	0.000
00:02:50.005	-0.007
00:02:50.434	0.006
00:02:50.864	0.013
00:02:51.295	-0.007
00:02:51.725	0.000
00:02:52.155	0.006
00:02:52.584	-0.020
00:02:53.014	0.013
00:02:53.444	-0.013
00:02:53.875	0.013
00:02:54.304	-0.013
00:02:55.416	-0.013
00:02:55.594	0.006
00:02:56.024	0.000
00:02:56.454	0.013
00:02:56.884	0.000
00:02:57.314	0.013
00:02:57.744	0.000
00:02:58.614	-0.007
00:02:59.044	0.000
00:02:59.904	0.006
00:03:00.334	0.025
00:03:00.764	0.006
00:03:01.194	0.000
00:03:02.054	0.006
00:03:02.914	-0.007
00:03:03.344	0.000
00:03:03.774	0.013
00:03:04.204	0.000
00:03:04.634	0.013
00:03:05.064	0.000
00:03:06.354	0.006
00:03:06.784	-0.013
00:03:07.214	0.019
00:03:07.644	0.006
00:03:08.074	0.000
00:03:08.934	0.013
00:03:09.374	0.000
00:03:09.804	-0.013
00:03:10.664	0.006
00:03:11.094	0.025
00:03:11.524	-0.013
00:03:11.954	0.000
00:03:12.384	0.013
00:03:12.814	0.006
00:03:13.674	0.013
00:03:14.104	-0.013
00:03:14.534	0.013
00:03:14.964	0.006
00:03:15.830	0.000
00:03:16.684	-0.013
00:03:17.114	-0.007
00:03:17.544	0.000
00:03:17.974	-0.020
00:03:18.404	0.000
00:03:18.834	0.006
00:03:19.264	0.000
00:03:20.134	-0.013
00:03:20.564	0.006
00:03:21.424	0.013
00:03:21.854	0.006
00:03:22.294	0.000
00:03:22.724	0.006
00:03:23.154	0.019
00:03:23.584	0.013
00:03:24.014	0.006
00:03:24.444	0.013
00:03:24.883	0.000
00:03:25.314	0.019
00:03:25.743	-0.013
00:03:26.174	0.006
00:03:26.603	0.000
00:03:27.033	0.006
00:03:27.463	0.013
00:03:27.893	0.006
00:03:28.323	0.000
00:03:28.753	-0.007
00:03:29.183	0.000
00:03:29.613	-0.013
00:03:30.048	0.025
00:03:30.483	-0.007
00:03:30.913	0.006
00:03:31.773	-0.007
00:03:32.633	0.000
00:03:33.933	-0.013
00:03:34.363	0.006
00:03:34.793	0.013
00:03:35.223	-0.007
00:03:36.083	0.000
00:03:36.513	-0.013
00:03:36.943	0.000
00:03:37.373	0.025
00:03:37.803	-0.013
00:03:38.233	0.013
00:03:38.663	-0.013
00:03:39.093	0.006
00:03:39.523	0.013
00:03:39.953	-0.013
00:03:40.393	0.006
00:03:40.823	-0.013
00:03:41.253	0.000
00:03:41.683	-0.013
00:03:42.113	0.019
00:03:42.543	-0.007
00:03:42.973	0.000
00:03:43.833	0.006
00:03:44.273	0.000
00:03:45.133	0.013
00:03:45.563	-0.013
00:03:45.993	0.000
00:03:46.423	0.006
00:03:46.853	-0.007
00:03:47.283	-0.013
00:03:47.713	-0.007
00:03:48.573	-0.013
00:03:49.003	0.000
00:03:49.433	0.006
00:03:49.863	-0.007
00:03:50.293	-0.013
00:03:50.723	0.000
00:03:51.593	-0.007
00:03:52.023	0.019
00:03:52.453	0.006
00:03:52.883	0.000
00:03:53.313	-0.013
00:03:53.743	0.000
00:03:54.173	0.013
00:03:54.613	0.006
00:03:55.043	0.000
00:03:55.483	0.013
00:03:55.913	0.006
00:03:56.342	0.000
00:03:56.773	0.013
00:03:57.633	-0.013
00:03:58.063	-0.007
00:03:58.492	-0.013
00:03:58.923	0.006
00:03:59.352	-0.007
00:04:00.213	0.000
00:04:00.652	-0.013
00:04:01.082	-0.007
00:04:01.512	0.006
00:04:02.372	-0.013
00:04:02.802	0.013
00:04:03.232	0.000
00:04:03.662	-0.007
00:04:04.092	-0.020
00:04:04.522	0.000
00:04:04.952	0.013
00:04:05.382	-0.007
00:04:06.242	0.006
00:04:06.672	0.013
00:04:07.102	0.000
00:04:07.532	-0.007
00:04:07.962	0.006
00:04:08.392	-0.007
00:04:08.832	0.006
00:04:09.262	-0.013
00:04:09.692	0.006
00:04:10.122	-0.007
00:04:10.552	-0.013
00:04:10.982	0.006
00:04:11.412	0.000
00:04:12.282	-0.013
