time	Pump D:Pressure [bar]
00:00:00.072	0.000
00:00:16.218	0.000
00:00:16.934	1.700
00:00:17.821	3.500
00:00:18.244	4.300
00:00:18.674	5.200
00:00:19.099	6.900
00:00:19.529	8.700
00:00:19.954	10.400
00:00:20.384	11.300
00:00:20.829	13.000
00:00:21.269	13.900
00:00:24.328	13.900
00:00:25.104	13.000
00:00:26.358	13.000
00:00:26.364	12.100
00:00:26.784	11.300
00:00:27.214	10.400
00:00:27.634	9.500
00:00:43.597	9.500
00:00:44.118	8.700
00:00:45.003	9.500
00:00:45.438	8.700
00:00:49.677	8.700
00:00:49.858	9.500
00:00:50.283	8.700
00:00:52.727	8.700
00:00:52.988	6.900
00:00:53.468	3.500
00:00:53.903	2.600
00:00:54.333	1.700
00:00:54.753	0.900
00:00:55.628	0.000
00:00:56.063	0.900
00:00:56.503	0.000
00:04:46.273	0.000
00:07:17.277	0.000
