time	Pump HP:Actual flow [µL/min]
00:00:00.072	2.598
00:00:00.084	2.573
00:00:00.515	2.545
00:00:00.975	2.523
00:00:01.455	2.495
00:00:01.940	2.468
00:00:02.394	2.443
00:00:02.804	2.420
00:00:03.254	2.406
00:00:03.734	2.369
00:00:04.204	2.343
00:00:04.675	2.316
00:00:05.134	2.291
00:00:05.594	2.273
00:00:06.054	2.244
00:00:06.494	0.023
00:00:06.904	-0.119
00:00:07.324	0.302
00:00:07.744	0.053
00:00:08.174	0.010
00:00:08.594	0.000
00:00:09.014	-0.001
00:00:09.454	0.000
00:00:09.874	0.000
00:00:10.294	-0.002
00:00:10.714	-0.001
00:00:11.144	-0.001
00:00:11.584	0.000
00:00:12.014	-0.001
00:00:12.459	-0.002
00:00:12.949	0.882
00:00:13.434	1.876
00:00:13.909	2.760
00:00:14.384	3.801
00:00:14.864	4.829
00:00:15.284	5.472
00:00:15.719	5.461
00:00:16.154	5.438
00:00:16.584	5.418
00:00:17.004	5.423
00:00:17.424	5.414
00:00:17.859	5.381
00:00:18.304	5.171
00:00:18.734	4.962
00:00:19.164	4.804
00:00:19.594	4.653
00:00:20.014	4.552
00:00:20.449	4.431
00:00:20.904	4.348
00:00:21.334	4.272
00:00:21.754	4.222
00:00:22.184	4.218
00:00:22.604	4.231
00:00:23.024	4.274
00:00:23.454	4.297
00:00:23.874	4.335
00:00:24.294	4.383
00:00:24.734	4.428
00:00:25.154	4.465
00:00:25.574	4.516
00:00:26.004	4.540
00:00:26.424	4.574
00:00:26.844	4.601
00:00:27.274	4.609
00:00:27.694	4.617
00:00:28.139	4.621
00:00:28.584	4.618
00:00:29.004	4.598
00:00:29.429	4.582
00:00:30.314	4.554
00:00:30.754	4.525
00:00:31.189	4.502
00:00:31.639	4.495
00:00:32.079	4.477
00:00:32.528	4.469
00:00:32.954	4.457
00:00:33.384	4.461
00:00:33.809	4.455
00:00:34.253	4.456
00:00:34.689	4.450
00:00:35.114	4.462
00:00:35.533	4.478
00:00:35.958	4.478
00:00:36.398	4.482
00:00:36.838	4.488
00:00:37.274	4.491
00:00:37.698	4.493
00:00:38.123	4.508
00:00:38.563	4.511
00:00:38.993	4.508
00:00:39.418	4.518
00:00:39.868	4.511
00:00:40.308	4.505
00:00:40.753	4.514
00:00:41.183	4.515
00:00:41.618	4.497
00:00:42.053	4.512
00:00:42.913	4.502
00:00:43.333	4.499
00:00:43.768	4.489
00:00:44.203	4.505
00:00:44.640	4.504
00:00:45.083	4.493
00:00:45.518	4.494
00:00:45.963	4.498
00:00:46.383	4.491
00:00:46.818	4.492
00:00:47.263	4.491
00:00:47.699	4.503
00:00:48.113	4.494
00:00:48.553	4.495
00:00:48.998	4.497
00:00:49.458	4.495
00:00:49.938	4.476
00:00:50.353	4.489
00:00:50.773	4.486
00:00:51.208	4.494
00:00:51.648	4.484
00:00:52.727	4.484
00:00:53.068	4.890
00:00:53.553	5.442
00:00:53.973	5.512
00:00:54.393	5.515
00:00:54.828	5.515
00:00:55.703	5.514
00:00:56.133	5.489
00:00:56.573	5.425
00:00:57.003	5.217
00:00:57.453	5.057
00:00:57.873	4.885
00:00:58.303	4.806
00:00:58.743	4.714
00:00:59.183	4.634
00:00:59.608	4.596
00:01:00.043	4.535
00:01:00.478	4.503
00:01:00.923	4.481
00:01:01.348	4.470
00:01:01.798	4.448
00:01:02.238	4.437
00:01:02.663	4.428
00:01:03.083	4.417
00:01:03.508	4.412
00:01:03.948	4.406
00:01:04.383	4.403
00:01:04.823	4.396
00:01:05.273	4.378
00:01:05.748	4.339
00:01:06.638	4.472
00:01:07.083	4.483
00:01:07.523	4.506
00:01:07.982	4.515
00:01:08.428	4.516
00:01:08.867	4.525
00:01:09.303	4.515
00:01:09.743	4.513
00:01:10.163	4.518
00:01:10.607	4.513
00:01:11.037	4.512
00:01:11.487	4.503
00:01:11.942	4.507
00:01:12.378	4.500
00:01:12.822	4.511
00:01:13.262	4.501
00:01:13.697	4.502
00:01:14.567	4.507
00:01:15.017	4.506
00:01:15.467	4.503
00:01:15.912	4.505
00:01:16.352	4.504
00:01:16.782	4.509
00:01:17.227	4.495
00:01:17.687	4.511
00:01:18.142	4.507
00:01:18.587	4.497
00:01:19.032	4.499
00:01:19.487	4.504
00:01:19.917	4.495
00:01:20.372	4.500
00:01:20.807	4.498
00:01:21.262	4.505
00:01:21.707	4.509
00:01:22.152	4.502
00:01:22.607	4.507
00:01:23.057	4.498
00:01:23.507	4.503
00:01:23.952	4.512
00:01:24.397	4.492
00:01:24.867	4.494
00:01:25.327	4.501
00:01:25.787	4.499
00:01:26.252	4.504
00:01:26.717	4.497
00:01:27.177	4.503
00:01:27.637	4.498
00:01:28.107	4.492
00:01:28.552	4.513
00:01:29.007	4.510
00:01:29.457	4.500
00:01:29.927	4.500
00:01:30.397	4.495
00:01:30.867	4.500
00:01:31.337	4.506
00:01:31.797	4.500
00:01:32.257	4.512
00:01:32.707	4.506
00:01:33.177	4.487
00:01:33.637	4.473
00:01:34.107	4.445
00:01:34.567	4.431
00:01:35.037	4.403
00:01:35.507	4.378
00:01:35.977	4.352
00:01:36.437	4.317
00:01:36.907	4.300
00:01:37.377	4.280
00:01:37.847	4.244
00:01:38.317	4.228
00:01:38.777	4.202
00:01:39.247	4.179
00:01:39.707	4.151
00:01:40.177	4.129
00:01:40.637	4.110
00:01:41.107	4.076
00:01:41.567	4.057
00:01:42.037	4.030
00:01:42.506	4.009
00:01:42.977	3.988
00:01:43.446	3.962
00:01:43.917	3.944
00:01:44.396	3.909
00:01:44.856	3.896
00:01:45.326	3.863
00:01:45.771	3.842
00:01:46.196	3.821
00:01:46.646	3.801
00:01:47.116	3.773
00:01:47.586	3.745
00:01:48.056	3.724
00:01:48.527	3.703
00:01:48.996	3.684
00:01:49.466	3.660
00:01:49.936	3.634
00:01:50.406	3.606
00:01:50.876	3.580
00:01:51.346	3.567
00:01:51.806	3.537
00:01:52.276	3.522
00:01:52.746	3.493
00:01:53.216	3.466
00:01:53.686	3.446
00:01:54.156	3.422
00:01:54.626	3.395
00:01:55.096	3.374
00:01:55.566	3.347
00:01:56.036	3.328
00:01:56.506	3.306
00:01:56.976	3.282
00:01:57.446	3.257
00:01:57.916	3.235
00:01:58.386	3.208
00:01:58.856	3.189
00:01:59.326	3.165
00:01:59.796	3.143
00:02:00.266	3.115
00:02:00.736	3.092
00:02:01.206	3.068
00:02:01.676	3.045
00:02:02.146	3.025
00:02:02.616	3.001
00:02:03.086	2.983
00:02:03.556	2.954
00:02:04.026	2.926
00:02:04.496	2.902
00:02:04.966	2.882
00:02:05.436	2.862
00:02:05.956	2.829
00:02:06.436	2.809
00:02:06.906	2.787
00:02:07.376	2.765
00:02:07.836	2.740
00:02:08.306	2.713
00:02:08.776	2.689
00:02:09.246	2.666
00:02:09.716	2.647
00:02:10.186	2.622
00:02:10.656	2.598
00:02:11.126	2.574
00:02:11.621	2.550
00:02:12.066	2.524
00:02:12.536	2.504
00:02:13.006	2.481
00:02:13.476	2.456
00:02:13.945	2.434
00:02:14.416	2.409
00:02:14.891	2.387
00:02:15.356	2.361
00:02:15.826	2.343
00:02:16.296	2.319
00:02:16.766	2.298
00:02:17.236	2.273
00:02:17.705	2.255
00:02:18.176	2.241
00:02:18.650	2.212
00:02:19.095	2.186
00:02:19.565	2.155
00:02:20.035	2.125
00:02:20.505	2.102
00:02:20.975	2.075
00:02:21.445	2.051
00:02:21.915	2.027
00:02:22.385	2.004
00:02:22.855	1.987
00:02:23.325	1.972
00:02:23.795	1.954
00:02:24.265	1.951
00:02:24.735	1.961
00:02:25.205	1.969
00:02:25.675	1.976
00:02:26.145	1.982
00:02:26.615	1.991
00:02:27.090	1.997
00:02:27.555	1.994
00:02:28.025	1.999
00:02:28.495	1.995
00:02:28.965	1.996
00:02:29.435	1.996
00:02:29.905	1.997
00:02:30.375	1.994
00:02:30.845	1.995
00:02:31.315	1.995
00:02:32.255	1.992
00:02:32.715	1.995
00:02:33.185	1.996
00:02:33.655	1.997
00:02:34.125	1.995
00:02:34.595	1.997
00:02:35.065	1.997
00:02:35.535	2.000
00:02:36.005	1.996
00:02:36.475	2.000
00:02:36.945	1.998
00:02:37.415	1.996
00:02:37.885	1.998
00:02:38.355	1.998
00:02:38.825	2.000
00:02:39.295	1.995
00:02:39.765	2.000
00:02:40.235	1.999
00:02:40.705	1.998
00:02:41.175	2.002
00:02:41.645	1.999
00:02:42.115	1.995
00:02:42.585	2.001
00:02:43.055	2.001
00:02:43.525	2.002
00:02:43.985	1.996
00:02:44.415	2.000
00:02:44.845	1.998
00:02:45.275	1.998
00:02:45.704	2.001
00:02:46.134	2.000
00:02:46.565	1.999
00:02:46.995	1.996
00:02:47.435	2.002
00:02:47.865	2.000
00:02:48.295	2.001
00:02:48.770	1.999
00:02:49.215	1.999
00:02:49.645	2.001
00:02:50.075	1.999
00:02:50.504	2.003
00:02:50.935	1.999
00:02:51.364	1.998
00:02:51.795	1.998
00:02:52.224	2.001
00:02:52.654	1.999
00:02:53.084	1.998
00:02:53.514	2.004
00:02:53.944	2.000
00:02:54.375	2.000
00:02:54.804	2.000
00:02:55.234	2.002
00:02:55.664	2.000
00:02:56.094	1.999
00:02:56.524	2.001
00:02:56.954	1.999
00:02:57.384	1.999
00:02:57.814	1.997
00:02:58.244	2.000
00:02:58.684	2.001
00:02:59.114	1.999
00:02:59.544	2.003
00:02:59.974	1.999
00:03:00.404	2.001
00:03:00.834	2.000
00:03:01.264	2.001
00:03:01.694	2.000
00:03:02.124	1.998
00:03:02.554	2.002
00:03:02.984	1.999
00:03:03.414	2.000
00:03:03.844	2.000
00:03:04.274	2.004
00:03:04.704	1.999
00:03:05.134	1.997
00:03:05.564	2.004
00:03:05.994	1.998
00:03:06.424	1.997
00:03:06.854	1.998
00:03:07.284	2.000
00:03:08.144	1.997
00:03:08.574	2.003
00:03:09.004	1.998
00:03:09.444	2.000
00:03:09.874	1.999
00:03:10.304	2.000
00:03:10.734	1.999
00:03:11.164	1.998
00:03:11.594	2.001
00:03:12.024	2.000
00:03:12.454	2.000
00:03:13.314	1.999
00:03:13.744	2.000
00:03:14.174	1.999
00:03:14.604	2.002
00:03:15.034	1.998
00:03:15.464	1.999
00:03:15.894	1.999
00:03:16.324	1.999
00:03:16.754	2.000
00:03:17.184	1.999
00:03:17.614	2.000
00:03:18.044	1.998
00:03:18.474	1.997
00:03:18.904	2.001
00:03:19.764	2.003
00:03:20.204	2.004
00:03:20.634	2.005
00:03:21.064	2.004
00:03:21.494	2.000
00:03:21.933	2.000
00:03:22.364	1.999
00:03:22.794	1.998
00:03:23.224	1.994
00:03:23.654	1.997
00:03:24.084	1.995
00:03:24.953	1.997
00:03:25.383	1.998
00:03:25.814	2.000
00:03:26.244	1.999
00:03:26.674	2.002
00:03:27.103	2.002
00:03:27.533	2.000
00:03:27.963	2.002
00:03:28.394	2.001
00:03:28.823	2.000
00:03:29.886	2.000
00:03:30.123	2.002
00:03:30.553	1.999
00:03:30.983	2.002
00:03:31.413	2.000
00:03:31.843	2.001
00:03:32.273	1.999
00:03:32.703	2.001
00:03:33.143	2.000
00:03:33.573	1.997
00:03:34.003	2.002
00:03:34.433	1.999
00:03:34.863	1.998
00:03:35.293	2.002
00:03:35.723	2.003
00:03:36.153	2.001
00:03:36.583	1.997
00:03:37.013	2.002
00:03:37.443	1.999
00:03:37.873	1.998
00:03:38.303	2.000
00:03:38.733	2.000
00:03:39.593	1.998
00:03:40.023	2.003
00:03:40.463	1.999
00:03:40.893	2.000
00:03:41.323	2.000
00:03:41.753	2.001
00:03:42.183	2.000
00:03:42.613	1.998
00:03:43.043	2.001
00:03:43.473	2.000
00:03:43.903	1.999
00:03:44.343	2.001
00:03:44.773	1.999
00:03:45.203	2.000
00:03:45.633	1.999
00:03:46.063	2.002
00:03:46.493	2.000
00:03:46.923	1.998
00:03:47.353	2.003
00:03:47.783	1.999
00:03:48.643	1.998
00:03:49.073	2.000
00:03:49.503	2.000
00:03:49.933	1.999
00:03:50.363	2.001
00:03:50.793	1.999
00:03:51.223	1.999
00:03:51.663	1.999
00:03:52.093	1.999
00:03:52.523	2.001
00:03:52.953	1.998
00:03:53.383	2.002
00:03:53.813	2.000
00:03:54.250	1.998
00:03:54.683	2.001
00:03:55.113	2.000
00:03:55.553	2.000
00:03:55.983	2.000
00:03:56.412	2.002
00:03:56.843	1.998
00:03:57.273	1.996
00:03:57.703	2.003
00:03:58.133	1.997
00:03:58.563	1.998
00:03:58.992	2.001
00:03:59.423	2.000
00:03:59.852	2.001
00:04:00.283	2.000
00:04:00.723	2.006
00:04:01.152	2.005
00:04:01.582	2.002
00:04:02.012	1.997
00:04:02.442	1.999
00:04:02.872	1.995
00:04:03.302	1.994
00:04:03.732	2.000
00:04:04.162	2.000
00:04:04.592	1.998
00:04:05.022	2.003
00:04:05.452	2.000
00:04:05.882	2.002
00:04:06.312	2.000
00:04:06.742	2.002
00:04:07.602	1.999
00:04:08.032	2.001
00:04:08.462	1.999
00:04:08.902	1.998
00:04:09.762	2.000
00:04:10.192	2.000
00:04:10.622	1.997
00:04:11.052	2.001
00:04:11.493	1.999
00:04:11.922	1.998
00:04:12.352	1.998
00:04:12.782	2.002
00:04:13.212	2.002
00:04:13.672	1.999
00:04:14.102	2.001
00:04:14.532	1.999
00:04:14.962	2.000
00:04:15.392	2.002
00:04:15.822	2.000
00:04:16.682	1.999
00:04:17.112	2.001
00:04:17.542	1.999
00:04:17.982	1.996
00:04:18.412	2.002
00:04:18.842	1.999
00:04:19.702	2.000
00:04:20.132	2.002
00:04:20.562	2.005
00:04:20.992	2.003
00:04:21.422	2.007
00:04:21.862	2.002
00:04:22.292	1.999
00:04:22.722	1.995
00:04:23.152	1.998
00:04:23.582	1.997
00:04:24.012	1.997
00:04:24.442	2.002
00:04:24.872	2.000
00:04:25.302	1.999
00:04:25.732	2.002
00:04:26.162	1.999
00:04:26.592	2.002
00:04:27.022	1.999
00:04:27.452	2.000
00:04:27.872	2.002
00:04:28.302	1.998
00:04:28.736	2.002
00:04:29.162	1.998
00:04:29.592	2.001
00:04:30.022	1.999
00:04:30.452	2.000
00:04:30.881	1.999
00:04:31.312	2.000
00:04:31.742	2.002
00:04:32.172	2.001
00:04:32.602	2.000
00:04:33.032	2.000
00:04:33.462	2.004
00:04:33.891	2.003
00:04:34.332	1.997
00:04:34.761	2.004
00:04:35.191	1.997
00:04:35.621	1.999
00:04:36.051	1.998
00:04:36.481	1.999
00:04:36.911	2.001
00:04:37.341	1.999
00:04:37.771	2.004
00:04:38.201	1.999
00:04:38.631	2.001
00:04:39.051	2.002
00:04:39.481	2.004
00:04:39.911	2.002
00:04:40.341	1.998
00:04:40.771	2.003
00:04:41.201	1.999
00:04:41.631	2.000
00:04:42.061	1.997
00:04:42.491	2.000
00:04:42.921	2.001
00:04:43.351	1.999
00:04:43.781	2.001
00:04:44.211	2.002
00:04:44.641	2.000
00:04:45.071	1.996
00:04:45.511	2.001
00:04:45.931	1.999
00:04:46.381	1.997
00:04:46.831	2.003
00:04:47.251	2.001
00:04:47.731	1.999
00:04:48.216	1.998
00:04:48.661	1.999
00:04:49.091	2.001
00:04:49.521	1.999
00:04:49.941	2.003
00:04:50.361	1.999
00:04:50.781	1.998
00:04:51.201	2.000
00:04:52.041	2.000
00:04:52.471	1.997
00:04:52.891	2.002
00:04:53.311	1.998
00:04:53.731	2.001
00:04:54.151	1.997
00:04:54.571	2.003
00:04:54.991	2.002
00:04:55.421	1.997
00:04:55.841	2.001
00:04:56.271	2.000
00:04:56.691	2.000
00:04:57.111	1.997
00:04:57.531	2.002
00:04:57.951	2.000
00:04:58.371	1.999
00:04:58.791	2.003
00:04:59.211	2.001
00:04:59.631	2.002
00:05:00.051	1.999
00:05:00.471	2.003
00:05:00.891	1.998
00:05:01.311	1.998
00:05:01.731	1.999
00:05:02.151	2.002
00:05:02.581	2.000
00:05:03.001	1.999
00:05:03.421	2.001
00:05:03.841	1.999
00:05:04.266	1.999
00:05:04.701	1.998
00:05:05.121	2.002
00:05:05.541	2.001
00:05:05.961	1.999
00:05:06.380	2.001
00:05:06.801	2.001
00:05:07.221	1.999
00:05:08.071	2.002
00:05:08.500	2.002
00:05:08.921	1.999
00:05:09.340	2.002
00:05:09.760	1.999
00:05:10.180	1.997
00:05:10.600	1.998
00:05:11.020	2.001
00:05:11.440	1.999
00:05:11.860	2.000
00:05:12.280	2.002
00:05:12.700	2.002
00:05:13.120	2.004
00:05:13.540	2.001
00:05:13.960	2.005
00:05:14.380	2.000
00:05:14.800	1.999
00:05:15.220	1.996
00:05:15.640	1.996
00:05:16.060	1.998
00:05:16.910	2.002
00:05:17.330	1.998
00:05:17.750	1.998
00:05:18.170	2.001
00:05:18.590	2.002
00:05:19.010	2.000
00:05:19.430	1.998
00:05:19.850	2.004
00:05:20.270	1.999
00:05:20.690	2.000
00:05:21.110	2.000
00:05:21.530	2.003
00:05:21.960	1.999
00:05:22.380	1.997
00:05:22.800	2.001
00:05:23.220	1.998
00:05:23.640	2.001
00:05:24.060	2.000
00:05:24.480	2.003
00:05:24.900	2.000
00:05:25.320	1.999
00:05:25.740	2.000
00:05:26.160	2.000
00:05:26.580	1.998
00:05:27.000	1.999
00:05:27.420	2.008
00:05:27.840	2.005
00:05:28.260	2.006
00:05:28.680	2.002
00:05:29.100	1.999
00:05:29.520	1.994
00:05:29.940	1.993
00:05:30.360	1.995
00:05:30.780	1.999
00:05:31.200	2.001
00:05:31.620	1.998
00:05:32.040	2.005
00:05:32.460	2.001
00:05:32.880	2.000
00:05:33.300	1.999
00:05:33.720	2.002
00:05:34.140	1.999
00:05:34.560	2.000
00:05:34.980	2.007
00:05:35.400	2.000
00:05:35.820	2.000
00:05:36.240	1.997
00:05:36.660	2.003
00:05:37.080	2.001
00:05:37.500	2.000
00:05:37.920	2.000
00:05:38.340	2.004
00:05:38.770	2.000
00:05:39.189	1.997
00:05:39.610	2.001
00:05:40.030	1.999
00:05:40.450	1.999
00:05:40.870	1.998
00:05:41.290	2.002
00:05:41.709	1.999
00:05:42.139	1.998
00:05:42.559	1.997
00:05:42.989	1.998
00:05:43.409	2.000
00:05:43.829	1.999
00:05:44.249	2.000
00:05:44.669	1.998
00:05:45.089	1.998
00:05:45.509	1.998
00:05:45.929	2.001
00:05:46.349	2.002
00:05:46.769	1.999
00:05:47.199	2.002
00:05:47.619	2.001
00:05:48.039	2.000
00:05:48.459	1.999
00:05:48.879	1.999
00:05:49.299	2.002
00:05:49.719	1.999
00:05:50.139	1.999
00:05:50.559	2.001
00:05:50.979	2.000
00:05:51.399	1.997
00:05:51.819	2.002
00:05:52.239	1.998
00:05:52.659	1.999
00:05:53.079	1.997
00:05:53.499	1.999
00:05:53.919	1.998
00:05:54.339	1.996
00:05:54.759	2.000
00:05:55.179	1.998
00:05:55.599	2.001
00:05:56.020	2.000
00:05:56.439	2.005
00:05:56.859	2.002
00:05:57.279	2.000
00:05:57.699	2.003
00:05:58.129	2.001
