time	Pump HP:Pump speed [µL/min]
00:00:00.072	0.000
00:00:07.098	0.000
00:00:07.324	-300.000
00:00:11.148	-300.000
00:00:12.014	0.000
00:00:12.949	99.615
00:00:15.208	99.615
00:00:15.719	5.627
00:00:17.238	5.627
00:00:17.859	-8.716
00:00:18.304	-9.826
00:00:18.734	-6.503
00:00:19.164	-5.086
00:00:19.594	-3.641
00:00:20.014	-2.936
00:00:20.449	-1.087
00:00:20.904	0.607
00:00:21.334	2.868
00:00:21.754	4.898
00:00:22.184	6.030
00:00:22.604	7.324
00:00:23.024	7.624
00:00:23.454	8.560
00:00:23.874	8.941
00:00:24.294	9.108
00:00:24.734	8.926
00:00:25.154	8.722
00:00:25.574	7.929
00:00:26.004	7.573
00:00:26.424	6.658
00:00:26.844	5.736
00:00:27.274	5.120
00:00:27.694	4.367
00:00:28.139	3.554
00:00:28.584	2.972
00:00:29.004	2.852
00:00:29.429	2.648
00:00:30.314	2.113
00:00:30.754	2.464
00:00:31.189	2.772
00:00:31.639	2.688
00:00:32.079	3.132
00:00:32.528	3.361
00:00:32.954	3.804
00:00:33.384	3.830
00:00:33.809	4.200
00:00:34.253	4.461
00:00:34.689	4.919
00:00:35.114	4.825
00:00:35.533	4.660
00:00:35.959	4.915
00:00:36.398	5.050
00:00:36.839	5.042
00:00:37.274	5.092
00:00:37.698	5.153
00:00:38.123	4.749
00:00:38.563	4.704
00:00:38.993	4.779
00:00:39.418	4.457
00:00:39.868	4.609
00:00:40.308	4.709
00:00:40.753	4.352
00:00:41.183	4.216
00:00:41.618	4.637
00:00:42.053	4.101
00:00:42.488	4.028
00:00:42.913	4.267
00:00:43.333	4.333
00:00:43.768	4.591
00:00:44.203	4.094
00:00:44.640	4.107
00:00:45.083	4.452
00:00:45.518	4.411
00:00:45.963	4.308
00:00:46.383	4.527
00:00:46.818	4.536
00:00:47.263	4.596
00:00:47.699	4.260
00:00:48.113	4.597
00:00:48.553	4.589
00:00:48.998	4.549
00:00:49.458	4.620
00:00:49.938	0.000
00:00:50.353	5.173
00:00:52.727	5.173
00:00:53.068	12.195
00:00:53.973	8.322
00:00:55.263	5.173
00:00:57.797	5.173
00:00:58.303	2.554
00:00:58.743	5.173
00:00:59.183	2.554
00:01:00.043	5.173
00:01:01.847	5.173
00:01:02.238	2.554
00:01:02.663	5.173
00:01:03.508	2.554
00:01:03.948	5.173
00:01:04.823	2.554
00:01:05.273	0.000
00:01:05.748	8.960
00:01:06.638	5.876
00:01:07.083	5.986
00:01:07.523	5.507
00:01:07.982	5.369
00:01:08.428	5.372
00:01:08.867	5.037
00:01:09.303	5.272
00:01:09.743	5.191
00:01:10.163	4.955
00:01:10.607	5.035
00:01:11.037	4.944
00:01:11.488	5.129
00:01:11.942	4.962
00:01:12.378	5.108
00:01:12.822	4.750
00:01:13.262	5.003
00:01:13.697	4.942
00:01:14.132	4.912
00:01:14.567	4.732
00:01:15.017	4.737
00:01:15.467	4.784
00:01:15.912	4.691
00:01:16.352	4.691
00:01:16.782	4.515
00:01:17.227	4.947
00:01:17.687	4.413
00:01:18.142	4.518
00:01:18.587	4.802
00:01:19.032	4.764
00:01:19.487	4.582
00:01:19.917	4.827
00:01:20.372	4.664
00:01:20.807	4.717
00:01:21.262	4.490
00:01:21.707	4.400
00:01:22.152	4.572
00:01:22.607	4.429
00:01:23.057	4.697
00:01:23.507	4.523
00:01:23.952	4.257
00:01:24.397	4.841
00:01:24.867	4.751
00:01:25.327	4.515
00:01:25.787	4.596
00:01:26.252	4.443
00:01:26.717	4.627
00:01:27.177	4.455
00:01:27.637	4.593
00:01:28.107	4.785
00:01:28.552	4.132
00:01:29.007	4.231
00:01:29.457	4.507
00:01:29.927	4.472
00:01:30.397	4.608
00:01:30.867	4.454
00:01:31.337	4.259
00:01:31.797	4.414
00:01:32.257	4.027
00:01:32.707	3.994
00:01:33.177	3.893
00:01:33.637	3.589
00:01:34.107	3.554
00:01:34.567	3.126
00:01:35.037	3.097
00:01:35.507	2.936
00:01:35.977	2.867
00:01:36.437	3.035
00:01:36.907	2.645
00:01:37.377	2.348
00:01:37.847	2.699
00:01:38.317	2.381
00:01:38.777	2.279
00:01:39.247	2.195
00:01:39.707	2.197
00:01:40.177	2.001
00:01:40.637	1.891
00:01:41.107	2.152
00:01:41.567	1.900
00:01:42.037	1.971
00:01:42.506	1.785
00:01:42.977	1.620
00:01:43.446	1.743
00:01:43.917	1.480
00:01:44.397	1.794
00:01:44.857	1.388
00:01:45.327	1.669
00:01:45.771	1.507
00:01:46.196	1.485
00:01:46.646	1.473
00:01:47.116	1.530
00:01:47.586	1.600
00:01:48.056	1.513
00:01:48.527	1.473
00:01:48.996	1.297
00:01:49.466	1.318
00:01:49.936	1.391
00:01:50.406	1.410
00:01:50.876	1.472
00:01:51.346	1.167
00:01:51.806	1.286
00:01:52.276	1.024
00:01:52.746	1.224
00:01:53.216	1.253
00:01:53.686	1.177
00:01:54.156	1.149
00:01:54.626	1.276
00:01:55.096	1.128
00:01:55.566	1.072
00:01:56.036	1.112
00:01:56.506	1.019
00:01:56.976	1.036
00:01:57.446	1.091
00:01:57.916	1.006
00:01:58.386	1.028
00:01:58.856	0.909
00:01:59.326	0.926
00:01:59.796	0.814
00:02:00.266	0.936
00:02:00.736	0.924
00:02:01.206	0.879
00:02:01.676	0.856
00:02:02.146	0.783
00:02:02.616	0.728
00:02:03.086	0.599
00:02:03.556	0.664
00:02:04.026	0.807
00:02:04.496	0.754
00:02:04.966	0.641
00:02:05.436	0.559
00:02:05.956	0.614
00:02:06.436	0.611
00:02:06.906	0.560
00:02:07.376	0.458
00:02:07.836	0.509
00:02:08.306	0.533
00:02:08.776	0.481
00:02:09.246	0.463
00:02:09.716	0.317
00:02:10.186	0.355
00:02:10.656	0.312
00:02:11.126	0.329
00:02:11.621	0.269
00:02:12.066	0.287
00:02:12.536	0.264
00:02:13.006	0.253
00:02:13.476	0.230
00:02:13.945	0.202
00:02:14.416	0.181
00:02:14.891	0.081
00:02:15.356	0.086
00:02:15.826	0.003
00:02:16.296	0.014
00:02:16.766	-0.138
00:02:17.236	-0.119
00:02:17.705	-0.364
00:02:18.176	-0.738
00:02:18.651	-0.632
00:02:19.095	-0.608
00:02:19.565	-0.549
00:02:20.035	-0.451
00:02:20.505	-0.554
00:02:20.975	-0.512
00:02:21.445	-0.418
00:02:21.915	-0.427
00:02:22.385	-0.521
00:02:22.855	-0.205
00:02:23.325	0.256
00:02:23.795	0.851
00:02:24.265	1.102
00:02:24.735	1.104
00:02:25.205	1.195
00:02:25.675	1.206
00:02:26.145	1.290
00:02:26.615	1.221
00:02:27.090	1.209
00:02:27.555	1.364
00:02:28.025	1.280
00:02:28.495	1.492
00:02:28.965	1.436
00:02:29.435	1.465
00:02:29.905	1.464
00:02:30.375	1.569
00:02:30.845	1.569
00:02:31.315	1.602
00:02:31.785	1.626
00:02:32.255	1.744
00:02:32.715	1.682
00:02:33.185	1.713
00:02:33.655	1.727
00:02:34.125	1.800
00:02:34.595	1.788
00:02:35.065	1.809
00:02:35.535	1.747
00:02:36.005	1.880
00:02:36.475	1.785
00:02:36.945	1.853
00:02:37.415	1.933
00:02:37.885	1.873
00:02:38.355	1.904
00:02:38.825	1.852
00:02:39.295	1.998
00:02:39.765	1.850
00:02:40.235	1.896
00:02:40.705	1.927
00:02:41.175	1.815
00:02:41.645	1.920
00:02:42.115	2.024
00:02:42.585	1.867
00:02:43.055	1.911
00:02:43.525	1.834
00:02:43.985	2.003
00:02:44.415	1.895
00:02:44.845	1.945
00:02:45.275	1.964
00:02:45.704	1.889
00:02:46.134	1.925
00:02:46.565	1.950
00:02:46.995	2.048
00:02:47.435	1.891
00:02:47.865	1.947
00:02:48.295	1.922
00:02:48.770	1.978
00:02:49.215	1.979
00:02:49.645	1.924
00:02:50.075	1.993
00:02:50.504	1.881
00:02:50.935	1.997
00:02:51.364	2.006
00:02:51.795	2.000
00:02:52.224	1.941
00:02:52.655	1.995
00:02:53.085	2.031
00:02:53.514	1.865
00:02:53.944	1.980
