time	Pump A:Displacement [µL]
00:00:00.010	21.430
00:00:11.745	21.430
00:00:12.244	21.450
00:00:12.674	21.520
00:00:13.104	21.600
00:00:13.564	21.660
00:00:13.985	21.720
00:00:14.435	21.760
00:00:14.875	21.810
00:00:15.325	21.860
00:00:15.774	21.910
00:00:16.185	21.960
00:00:16.615	22.010
00:00:17.074	22.050
00:00:20.865	22.050
00:00:21.825	22.060
00:00:24.925	22.060
00:00:25.339	22.070
00:00:26.645	22.080
00:00:27.965	22.080
00:00:28.424	22.090
00:00:29.995	22.090
00:00:30.184	22.100
00:00:31.925	22.110
00:00:33.035	22.110
00:00:33.684	22.120
00:00:34.974	22.130
00:00:35.424	22.140
00:00:35.864	22.150
00:00:36.275	22.170
00:00:36.734	22.200
00:00:37.145	22.210
00:00:37.604	22.240
00:00:38.034	22.260
00:00:38.445	22.280
00:00:38.875	22.320
00:00:39.324	22.390
00:00:39.735	22.460
00:00:40.183	22.560
00:00:40.595	22.600
00:00:41.045	22.640
00:00:41.494	22.680
00:00:41.924	22.730
00:00:42.354	22.770
00:00:42.765	22.800
00:00:43.233	22.850
00:00:43.663	22.890
00:00:44.075	22.920
00:00:44.523	22.980
00:00:44.963	23.020
00:00:45.418	23.060
00:00:45.863	23.110
00:00:46.293	23.150
00:00:46.723	23.190
00:00:47.153	23.240
00:00:48.244	23.240
00:00:48.564	23.340
00:02:06.323	23.340
00:02:07.341	22.920
00:02:07.771	22.430
00:02:08.201	21.940
00:02:08.631	21.450
00:02:09.061	20.970
00:02:09.491	20.480
00:02:09.921	19.990
00:02:10.351	19.500
00:02:10.781	19.020
00:02:11.211	18.530
00:02:11.641	18.040
00:02:12.071	17.550
00:02:12.501	17.070
00:02:12.931	16.580
00:02:13.361	16.090
00:02:13.791	15.600
00:02:14.211	15.130
00:02:14.651	14.630
00:02:15.081	14.140
00:02:15.511	13.660
00:02:15.941	13.170
00:02:16.371	12.680
00:02:16.801	12.190
00:02:17.231	11.710
00:02:17.671	11.210
00:02:18.102	10.720
00:02:18.530	10.230
