time	Pump A:Pressure [bar]
00:00:00.010	0.000
00:00:11.745	0.000
00:00:12.674	1.700
00:00:13.104	2.600
00:00:13.564	3.400
00:00:13.985	4.300
00:00:14.435	5.200
00:00:14.875	6.000
00:00:15.774	6.900
00:00:16.185	7.800
00:00:16.615	8.600
00:00:18.845	8.600
00:00:19.264	7.800
00:00:19.675	7.800
00:00:29.735	7.800
00:00:30.639	8.600
00:00:31.074	7.800
00:00:31.925	7.800
00:00:32.355	7.800
00:00:32.814	8.600
00:00:33.684	7.800
00:00:34.114	8.600
00:00:34.525	8.600
00:00:34.974	7.800
00:00:35.424	8.600
00:00:37.095	8.600
00:00:37.145	9.500
00:00:39.125	9.500
00:00:39.324	10.400
00:00:39.735	11.200
00:00:40.183	12.100
00:00:41.045	11.200
00:00:48.244	11.200
00:00:48.564	10.400
00:00:49.058	8.600
00:00:49.513	6.900
00:00:49.943	6.000
00:00:50.373	5.200
00:00:50.813	4.300
00:00:51.243	3.400
00:00:51.683	2.600
00:00:52.543	1.700
00:00:54.263	0.800
00:00:56.354	0.800
00:00:56.853	0.000
00:03:46.711	0.000
00:03:46.908	-0.800
00:03:47.328	0.000
00:04:42.326	0.000
00:04:42.766	-0.800
00:04:43.216	0.000
00:04:44.509	0.000
00:04:44.966	0.800
00:04:45.386	1.700
00:04:45.806	3.400
00:04:46.226	4.300
00:04:46.656	5.200
00:04:47.076	6.000
00:04:47.496	6.900
00:04:47.916	7.800
00:04:48.756	8.600
00:04:49.176	9.500
00:04:50.589	9.500
00:04:51.286	8.600
00:04:52.566	9.500
00:04:53.406	8.600
00:04:53.826	9.500
00:04:54.246	8.600
00:04:58.699	8.600
00:04:59.706	7.800
00:05:00.126	8.600
00:05:01.739	8.600
00:05:01.806	7.800
00:05:09.859	7.800
00:05:10.636	6.900
00:05:11.879	6.900
00:05:11.895	7.800
00:05:12.316	6.900
00:05:16.948	6.900
00:05:17.785	6.000
00:05:18.215	6.900
00:05:19.055	6.000
00:05:35.208	6.000
00:05:35.495	5.200
00:05:46.358	5.200
00:05:47.285	4.300
00:05:47.704	5.200
00:05:49.398	5.200
00:05:49.804	4.300
00:06:01.568	4.300
00:06:01.604	3.400
00:06:02.454	4.300
00:06:03.597	4.300
00:06:03.724	3.400
00:06:04.144	4.300
00:06:04.564	3.400
00:06:08.667	3.400
00:06:08.804	4.300
00:06:09.224	3.400
00:06:15.767	3.400
00:06:16.394	2.600
00:06:16.813	3.400
00:06:17.654	2.600
00:06:18.084	3.400
00:06:19.344	2.600
00:06:19.764	3.400
00:06:20.184	2.600
00:06:29.957	2.600
00:06:30.293	1.700
00:06:30.723	2.600
00:06:31.563	1.700
00:06:32.423	2.600
00:06:32.843	1.700
00:06:46.187	1.700
00:06:46.903	0.800
00:06:47.333	1.700
00:06:48.623	0.800
00:06:49.483	-0.800
00:06:49.923	0.000
00:07:12.733	0.000
