time	Pump A:Pump speed [µL/min]
00:00:00.010	0.000
00:00:11.745	0.000
00:00:11.814	0.930
00:00:12.244	9.532
00:00:12.674	8.699
00:00:13.104	10.128
00:00:13.564	7.525
00:00:13.985	6.405
00:00:14.435	5.978
00:00:14.875	7.547
00:00:15.325	5.732
00:00:15.774	7.907
00:00:16.185	8.336
00:00:16.615	6.408
00:00:17.074	2.472
00:00:17.504	0.000
00:00:20.865	0.000
00:00:20.984	0.047
00:00:21.395	0.390
00:00:21.825	0.000
00:00:22.274	0.802
00:00:22.724	0.000
00:00:23.915	0.000
00:00:24.435	0.104
00:00:24.904	0.580
00:00:25.339	0.600
00:00:25.765	0.198
00:00:26.205	0.687
00:00:26.645	0.091
00:00:27.095	0.413
00:00:27.535	0.031
00:00:27.975	0.492
00:00:28.424	0.525
00:00:28.874	0.338
00:00:29.305	0.674
00:00:29.735	0.000
00:00:30.184	0.555
00:00:30.639	0.000
00:00:31.074	0.461
00:00:31.514	0.186
00:00:31.925	0.268
00:00:32.355	0.267
00:00:32.814	0.237
00:00:33.244	0.193
00:00:33.684	0.202
00:00:34.114	0.593
00:00:34.525	0.307
00:00:34.974	2.136
00:00:35.424	1.941
00:00:35.864	2.344
00:00:36.275	3.116
00:00:36.734	3.211
00:00:37.145	2.765
00:00:37.604	3.000
00:00:38.034	3.933
00:00:38.445	4.409
00:00:38.875	4.857
00:00:39.324	11.325
00:00:39.735	15.771
00:00:40.183	8.708
00:00:40.595	4.287
00:00:41.045	5.457
00:00:41.494	6.892
00:00:41.924	4.840
00:00:42.354	5.387
00:00:42.765	5.903
00:00:43.233	4.725
00:00:43.663	5.494
00:00:44.075	6.018
00:00:44.523	4.866
00:00:44.963	5.695
00:00:45.418	7.320
00:00:45.863	4.917
00:00:46.293	5.613
00:00:46.723	7.413
00:00:47.153	4.850
00:00:48.244	4.850
00:00:48.564	0.000
00:02:06.323	0.000
00:02:07.341	-68.000
00:02:27.622	-68.000
00:02:27.636	0.000
00:04:40.449	0.000
00:04:40.576	60.000
00:04:42.479	60.000
00:04:42.766	0.000
00:04:44.126	0.281
00:04:44.546	7.348
00:04:44.966	10.873
00:04:45.386	15.225
00:04:45.806	17.064
00:04:46.226	19.262
00:04:46.656	19.836
00:04:47.076	20.750
00:04:47.496	21.891
00:04:47.916	21.767
00:04:48.336	23.052
00:04:48.756	25.615
00:04:49.176	26.325
00:04:49.596	19.863
00:04:50.026	17.741
00:04:50.446	16.497
00:04:50.866	15.545
00:04:51.286	15.988
00:04:51.716	16.557
00:04:52.136	17.008
00:04:52.566	17.172
00:04:52.986	16.940
00:04:53.406	16.880
00:04:53.826	16.365
00:04:54.246	16.218
00:04:54.666	16.474
00:04:55.086	17.042
00:04:55.506	17.420
00:04:55.926	17.214
00:04:56.346	17.227
00:04:56.766	16.651
00:04:57.186	15.839
00:04:57.606	15.187
00:04:58.026	14.863
00:04:58.446	15.057
00:04:58.866	15.005
00:04:59.286	16.218
00:04:59.706	16.176
00:05:00.126	15.225
00:05:00.546	14.745
00:05:00.966	15.028
00:05:01.386	14.938
00:05:01.806	15.483
00:05:02.226	15.917
00:05:02.646	16.007
00:05:03.066	14.830
00:05:03.486	14.209
00:05:03.916	14.384
00:05:04.336	15.101
00:05:04.756	15.319
00:05:05.176	15.305
00:05:05.596	14.190
00:05:06.016	14.003
00:05:06.436	14.289
00:05:06.856	15.227
00:05:07.276	15.245
00:05:07.696	13.896
00:05:08.116	13.704
00:05:08.536	14.087
00:05:08.956	14.703
00:05:09.376	14.540
00:05:09.796	13.283
00:05:10.216	13.259
00:05:10.636	14.075
00:05:11.056	13.471
00:05:11.476	12.611
00:05:11.895	12.590
00:05:12.316	13.544
00:05:12.736	13.044
00:05:13.156	12.246
00:05:13.575	12.950
00:05:13.995	13.268
00:05:14.416	11.928
00:05:14.835	12.213
00:05:15.255	12.814
00:05:15.675	11.889
00:05:16.095	11.535
00:05:16.515	12.636
00:05:16.935	11.649
00:05:17.365	11.268
00:05:17.785	12.499
00:05:18.215	11.215
00:05:18.635	11.092
00:05:19.055	12.092
00:05:19.475	11.140
00:05:19.895	11.589
00:05:20.315	12.152
00:05:20.745	11.196
00:05:21.165	11.968
00:05:21.585	11.897
00:05:22.015	10.877
00:05:22.435	11.750
00:05:22.855	10.970
00:05:23.275	11.019
00:05:23.695	12.133
00:05:24.115	10.862
00:05:24.535	11.013
00:05:24.955	11.392
00:05:25.375	10.548
00:05:25.795	11.532
00:05:26.215	10.634
00:05:26.635	10.582
00:05:27.065	11.765
00:05:27.485	10.358
00:05:27.905	11.346
00:05:28.325	10.498
00:05:28.745	10.256
00:05:29.165	11.696
00:05:29.585	10.260
00:05:30.005	11.083
00:05:30.425	10.296
00:05:30.845	10.435
00:05:31.265	11.613
00:05:31.685	10.384
00:05:32.125	10.962
00:05:32.550	10.194
00:05:32.975	10.170
00:05:33.395	11.147
00:05:33.815	9.879
00:05:34.235	10.935
