time	Pump A:Setpoint []
00:00:00.010	0.000
00:00:34.055	0.000
00:00:34.974	0.121
00:00:35.424	0.418
00:00:35.864	0.657
00:00:36.275	0.895
00:00:36.734	1.192
00:00:37.145	1.371
00:00:37.604	1.728
00:00:38.034	1.966
00:00:38.445	2.145
00:00:38.875	2.442
00:00:39.324	3.668
00:00:39.735	4.538
00:00:40.183	5.398
00:00:48.244	5.398
00:00:48.564	0.000
00:02:06.323	0.000
00:02:07.341	-68.000
00:04:40.449	-68.000
00:04:40.577	60.000
00:04:42.479	60.000
00:04:42.766	0.000
00:04:44.126	0.115
00:04:44.546	1.555
00:04:44.966	2.995
00:04:45.386	4.795
00:04:45.806	6.235
00:04:46.226	7.675
00:04:46.656	9.115
00:04:47.076	10.555
00:04:47.496	12.355
00:04:47.916	13.795
00:04:48.336	15.235
00:04:48.756	16.675
00:04:49.176	17.993
00:04:49.596	17.893
00:04:50.026	17.813
00:04:50.446	17.733
00:04:50.866	17.653
00:04:51.286	17.553
00:04:51.716	17.473
00:04:52.136	17.393
00:04:52.566	17.313
00:04:52.986	17.213
00:04:53.406	17.133
00:04:53.826	17.053
00:04:54.246	16.973
00:04:54.666	16.893
00:04:55.086	16.793
00:04:55.506	16.713
00:04:55.926	16.633
00:04:56.346	16.553
00:04:56.766	16.473
00:04:57.186	16.373
00:04:57.606	16.293
00:04:58.026	16.213
00:04:58.446	16.133
00:04:58.866	16.053
00:04:59.286	15.953
00:04:59.706	15.874
00:05:00.126	15.794
00:05:00.546	15.714
00:05:00.966	15.634
00:05:01.386	15.534
00:05:01.806	15.454
00:05:02.226	15.374
00:05:02.646	15.294
00:05:03.066	15.214
00:05:03.486	15.114
00:05:03.916	15.034
00:05:04.336	14.954
00:05:04.756	14.874
00:05:05.176	14.794
00:05:05.596	14.694
00:05:06.016	14.614
00:05:06.436	14.534
00:05:06.856	14.454
00:05:07.276	14.374
00:05:07.696	14.274
00:05:08.116	14.194
00:05:08.536	14.114
00:05:08.956	14.034
00:05:09.376	13.954
00:05:09.796	13.854
00:05:10.216	13.774
00:05:10.636	13.694
00:05:11.056	13.614
00:05:11.476	13.534
00:05:11.895	13.434
00:05:12.316	13.354
00:05:12.736	13.274
00:05:13.156	13.194
00:05:13.575	13.114
00:05:13.995	13.014
00:05:14.416	12.934
00:05:14.835	12.854
00:05:15.255	12.774
00:05:15.675	12.694
00:05:16.095	12.594
00:05:16.515	12.514
00:05:16.935	12.434
00:05:17.365	12.354
00:05:17.785	12.254
00:05:18.215	12.174
00:05:18.635	12.094
00:05:19.055	12.014
00:05:19.475	11.965
00:05:19.895	11.911
00:05:20.315	11.869
00:05:20.745	11.826
00:05:21.165	11.783
00:05:21.585	11.730
00:05:22.015	11.687
00:05:22.435	11.645
00:05:22.855	11.602
00:05:23.275	11.559
00:05:23.695	11.506
00:05:24.115	11.463
00:05:24.535	11.421
00:05:24.955	11.378
00:05:25.375	11.335
00:05:25.795	11.282
00:05:26.215	11.239
00:05:26.635	11.197
00:05:27.065	11.154
00:05:27.485	11.101
00:05:27.905	11.058
00:05:28.325	11.015
00:05:28.745	10.973
00:05:29.165	10.930
00:05:29.585	10.877
00:05:30.005	10.834
00:05:30.425	10.791
00:05:30.845	10.749
00:05:31.265	10.706
00:05:31.685	10.653
00:05:32.125	10.610
00:05:32.550	10.567
00:05:32.975	10.525
00:05:33.395	10.471
00:05:33.815	10.429
00:05:34.235	10.386
00:05:34.655	10.343
00:05:35.075	10.301
00:05:35.495	10.247
00:05:35.915	10.205
00:05:36.345	10.162
00:05:36.765	10.119
00:05:37.185	10.066
00:05:37.605	10.023
00:05:38.035	9.981
00:05:38.455	9.938
00:05:38.875	9.895
00:05:39.295	9.842
00:05:39.715	9.799
00:05:40.135	9.757
00:05:40.565	9.714
00:05:40.984	9.661
00:05:41.405	9.618
00:05:41.825	9.575
00:05:42.245	9.533
00:05:42.665	9.490
00:05:43.085	9.437
00:05:43.505	9.394
00:05:43.925	9.351
00:05:44.345	9.309
00:05:44.765	9.266
00:05:45.185	9.213
00:05:45.605	9.170
00:05:46.024	9.127
00:05:46.444	9.085
00:05:46.865	9.042
00:05:47.285	8.989
00:05:47.704	8.946
00:05:48.124	8.903
00:05:48.544	8.861
00:05:48.964	8.818
00:05:49.384	8.765
00:05:49.804	8.722
00:05:50.245	8.679
00:05:50.664	8.637
00:05:51.084	8.583
00:05:51.504	8.541
00:05:51.924	8.498
00:05:52.344	8.455
00:05:52.764	8.413
00:05:53.184	8.359
00:05:53.604	8.317
00:05:54.024	8.274
00:05:54.444	8.231
00:05:54.884	8.178
00:05:55.304	8.135
00:05:55.724	8.093
00:05:56.144	8.050
00:05:56.564	8.007
00:05:56.984	7.954
00:05:57.404	7.911
00:05:57.824	7.869
00:05:58.244	7.826
00:05:58.664	7.783
00:05:59.084	7.730
00:05:59.504	7.687
00:05:59.924	7.645
00:06:00.344	7.602
00:06:00.764	7.559
00:06:01.184	7.506
00:06:01.604	7.463
00:06:02.034	7.421
00:06:02.454	7.378
00:06:02.874	7.335
00:06:03.294	7.282
00:06:03.724	7.239
00:06:04.144	7.197
00:06:04.564	7.154
00:06:04.984	7.101
00:06:05.424	7.058
00:06:05.844	7.015
00:06:06.264	6.973
00:06:06.694	6.919
00:06:07.114	6.877
00:06:07.534	6.834
00:06:07.954	6.791
00:06:08.374	6.749
00:06:08.804	6.695
00:06:09.224	6.653
00:06:09.644	6.610
00:06:10.064	6.567
00:06:10.494	6.514
00:06:10.914	6.471
00:06:11.334	6.429
00:06:11.754	6.386
00:06:12.174	6.343
00:06:12.594	6.290
00:06:13.024	6.247
00:06:13.444	6.205
00:06:13.864	6.162
00:06:14.284	6.109
00:06:14.704	6.066
00:06:15.124	6.023
00:06:15.554	5.981
00:06:15.974	5.938
00:06:16.394	5.885
00:06:16.813	5.842
00:06:17.234	5.799
00:06:17.654	5.757
00:06:18.084	5.703
00:06:18.503	5.661
00:06:18.923	5.618
00:06:19.344	5.575
00:06:19.764	5.533
00:06:20.184	5.479
00:06:20.603	5.437
00:06:21.024	5.394
00:06:21.444	5.351
00:06:21.863	5.309
00:06:22.283	5.255
00:06:22.703	5.213
00:06:23.123	5.170
00:06:23.543	5.127
00:06:23.963	5.085
00:06:24.393	5.031
00:06:24.813	4.989
00:06:25.233	4.946
00:06:25.653	4.903
00:06:26.073	4.861
00:06:26.493	4.807
00:06:26.913	4.765
00:06:27.333	4.722
00:06:27.753	4.679
00:06:28.173	4.637
00:06:28.593	4.583
00:06:29.013	4.541
00:06:29.443	4.498
00:06:29.873	4.455
00:06:30.293	4.402
00:06:30.723	4.359
00:06:31.143	4.317
00:06:31.563	4.274
00:06:31.993	4.221
00:06:32.423	4.178
00:06:32.843	4.135
00:06:33.263	4.093
00:06:33.693	4.039
00:06:34.113	3.997
00:06:34.533	3.954
00:06:34.953	3.911
00:06:35.373	3.869
00:06:35.793	3.815
00:06:36.223	3.773
00:06:36.643	3.730
00:06:37.063	3.687
00:06:37.483	3.634
00:06:37.908	3.591
00:06:38.333	3.549
00:06:38.753	3.506
00:06:39.173	3.463
00:06:39.613	3.410
00:06:40.033	3.367
