time	Pump B:Actual flow [µL/min]
00:00:00.010	0.000
00:00:00.235	0.006
00:00:00.694	-0.007
00:00:01.255	0.000
00:00:01.725	0.012
00:00:02.135	0.000
00:00:02.605	0.006
00:00:03.465	-0.007
00:00:03.895	0.032
00:00:04.335	0.000
00:00:04.765	0.019
00:00:05.195	0.000
00:00:05.625	0.044
00:00:06.065	0.019
00:00:06.495	-0.019
00:00:06.925	0.012
00:00:07.354	0.006
00:00:08.235	0.038
00:00:08.719	0.032
00:00:09.204	0.006
00:00:09.674	0.012
00:00:10.134	-0.503
00:00:10.584	0.503
00:00:11.024	0.025
00:00:11.444	-0.032
00:00:11.884	-0.128
00:00:12.314	-0.210
00:00:12.744	-0.032
00:00:13.189	0.083
00:00:13.615	-0.051
00:00:14.055	-0.013
00:00:14.505	-0.147
00:00:14.945	0.006
00:00:15.434	-0.191
00:00:15.825	0.006
00:00:16.265	-0.083
00:00:16.695	0.000
00:00:17.125	0.280
00:00:17.555	0.356
00:00:17.995	0.299
00:00:18.445	0.235
00:00:18.886	0.076
00:00:19.315	0.108
00:00:19.755	-0.007
00:00:20.185	0.063
00:00:20.615	-0.058
00:00:21.035	0.051
00:00:21.475	-0.083
00:00:21.905	0.363
00:00:22.325	0.032
00:00:22.775	0.223
00:00:23.215	0.133
00:00:23.645	0.076
00:00:24.075	0.006
00:00:24.515	-0.026
00:00:24.955	-0.019
00:00:25.414	0.038
00:00:25.864	-0.032
00:00:26.304	0.095
00:00:26.744	0.006
00:00:27.194	-0.007
00:00:27.634	-0.026
00:00:28.084	-0.070
00:00:28.475	0.044
00:00:28.925	-0.070
00:00:29.385	0.012
00:00:29.815	-0.045
00:00:30.235	0.025
00:00:30.695	-0.007
00:00:31.125	0.032
00:00:31.565	0.012
00:00:32.005	-0.013
00:00:32.435	0.000
00:00:32.865	-0.089
00:00:33.295	0.051
00:00:33.735	-0.013
00:00:34.165	-0.038
00:00:34.605	0.044
00:00:35.025	0.012
00:00:35.475	-0.083
00:00:35.915	0.102
00:00:36.355	0.038
00:00:36.785	-0.038
00:00:37.225	0.070
00:00:37.655	0.000
00:00:38.085	0.044
00:00:38.525	0.051
00:00:38.955	-0.070
00:00:39.375	-0.058
00:00:39.815	-0.058
00:00:40.235	0.223
00:00:40.675	0.133
00:00:41.125	0.121
00:00:41.545	0.146
00:00:41.975	-0.013
00:00:42.405	0.012
00:00:42.844	0.012
00:00:43.285	-0.064
00:00:43.715	0.089
00:00:44.155	0.057
00:00:44.575	-0.051
00:00:45.015	0.006
00:00:45.498	0.076
00:00:45.933	-0.032
00:00:46.363	0.076
00:00:46.793	0.038
00:00:48.188	0.025
00:00:48.673	21.112
00:00:49.138	16.532
00:00:49.583	12.964
00:00:50.013	9.711
00:00:50.448	7.580
00:00:50.883	5.805
00:00:51.318	4.731
00:00:51.753	3.764
00:00:52.183	3.179
00:00:52.613	2.683
00:00:53.043	2.242
00:00:53.473	1.958
00:00:53.903	1.728
00:00:54.333	1.498
00:00:54.763	1.341
00:00:55.203	1.183
00:00:55.633	1.065
00:00:56.063	0.961
00:00:56.493	0.872
00:00:56.923	0.802
00:00:57.363	0.713
00:00:57.793	0.662
00:00:58.223	0.630
00:00:58.653	0.579
00:00:59.093	0.522
00:00:59.523	0.496
00:00:59.953	0.439
00:01:00.383	0.420
00:01:00.853	0.401
00:01:01.773	0.012
00:01:02.203	-0.064
00:01:02.633	0.000
00:01:03.063	0.089
00:01:03.493	0.165
00:01:03.923	0.216
00:01:04.783	0.204
00:01:05.213	0.184
00:01:05.643	0.178
00:01:06.073	0.191
00:01:06.503	0.165
00:01:06.933	0.172
00:01:07.363	0.159
00:01:07.803	0.172
00:01:08.233	0.159
00:01:08.663	0.146
00:01:09.093	0.127
00:01:09.523	0.140
00:01:09.953	0.114
00:01:10.383	0.121
00:01:11.243	0.127
00:01:11.672	0.133
00:01:12.963	0.102
00:01:13.393	0.083
00:01:13.823	0.108
00:01:14.262	0.114
00:01:14.692	0.083
00:01:15.123	0.089
00:01:15.552	0.095
00:01:16.412	0.102
00:01:16.842	0.095
00:01:17.272	0.083
00:01:17.702	0.089
00:01:18.572	0.070
00:01:19.002	0.089
00:01:19.432	0.070
00:01:19.862	0.076
00:01:20.292	0.070
00:01:20.722	0.076
00:01:21.152	0.089
00:01:21.582	0.083
00:01:22.012	0.057
00:01:22.442	0.070
00:01:22.872	0.057
00:01:23.302	0.063
00:01:23.742	0.083
00:01:24.172	0.076
00:01:24.602	0.057
00:01:25.032	0.070
00:01:25.462	0.057
00:01:25.892	0.070
00:01:26.322	0.083
00:01:26.762	0.051
00:01:27.192	0.070
00:01:28.052	0.044
00:01:28.482	0.038
00:01:28.912	0.051
00:01:29.342	0.063
00:01:29.777	0.044
00:01:30.642	0.032
00:01:31.082	0.057
00:01:31.512	0.051
00:01:31.942	0.070
00:01:32.372	0.063
00:01:32.802	0.044
00:01:33.242	0.051
00:01:33.672	0.038
00:01:34.102	0.070
00:01:34.532	0.032
00:01:34.962	0.038
00:01:35.392	0.051
00:01:36.682	0.057
00:01:37.112	0.044
00:01:37.542	0.032
00:01:38.402	0.051
00:01:38.832	0.063
00:01:39.262	0.051
00:01:39.692	0.038
00:01:40.122	0.051
00:01:40.552	0.032
00:01:40.982	0.051
00:01:41.412	0.038
00:01:41.842	0.051
00:01:42.272	0.044
00:01:42.712	0.032
00:01:43.142	0.044
00:01:43.572	0.012
00:01:44.002	0.051
00:01:44.432	0.032
00:01:44.872	0.025
00:01:45.302	0.006
00:01:45.742	0.019
00:01:46.172	0.038
00:01:46.602	0.032
00:01:47.042	0.057
00:01:47.472	0.051
00:01:47.902	0.038
00:01:48.332	0.012
00:01:48.761	0.032
00:01:49.191	0.044
00:01:50.051	0.025
00:01:50.481	0.057
00:01:50.911	0.032
00:01:51.771	0.012
00:01:52.201	0.025
00:01:52.631	0.032
00:01:53.491	0.051
00:01:53.921	0.025
00:01:54.351	0.044
00:01:54.785	0.032
00:01:56.071	0.051
00:01:56.501	0.038
00:01:56.931	0.012
00:01:57.361	0.032
00:01:57.791	0.012
00:01:58.231	0.038
00:01:58.661	0.025
00:01:59.091	0.038
00:01:59.521	0.051
00:01:59.951	0.044
00:02:00.381	0.057
00:02:00.811	0.038
00:02:01.241	0.019
00:02:01.751	0.012
00:02:02.181	0.000
00:02:02.611	0.019
00:02:03.481	-0.007
00:02:03.911	0.012
00:02:04.341	0.000
00:02:04.771	0.006
00:02:05.201	0.000
00:02:05.631	-0.007
00:02:06.061	-0.019
00:02:06.491	0.000
00:02:06.956	0.012
00:02:07.411	-0.007
00:02:07.841	0.000
00:02:08.701	0.006
00:02:09.131	-0.007
00:02:09.561	0.012
00:02:09.991	-0.007
00:02:10.421	0.025
00:02:10.851	-0.007
00:02:11.281	0.000
00:02:11.711	0.006
00:02:12.141	-0.007
00:02:12.571	0.006
00:02:13.001	0.000
00:02:13.431	0.012
00:02:13.851	0.000
00:02:14.721	0.006
00:02:15.581	0.032
00:02:16.011	0.006
00:02:16.441	-0.013
00:02:16.871	0.012
00:02:17.301	-0.007
00:02:17.741	0.000
00:02:18.171	-0.013
00:02:18.600	0.019
00:02:19.031	0.006
00:02:19.461	0.000
00:02:19.901	-0.007
00:02:20.331	0.000
00:02:21.190	0.012
00:02:21.621	-0.007
00:02:23.350	0.000
00:02:24.220	0.012
00:02:24.660	-0.007
00:02:25.090	0.012
00:02:25.520	-0.007
00:02:25.950	0.012
00:02:26.380	-0.007
00:02:26.810	0.019
00:02:27.260	-0.013
00:02:27.715	0.000
00:02:28.140	0.012
00:02:28.570	0.025
00:02:29.000	0.012
00:02:29.430	0.000
00:02:29.860	-0.019
00:02:30.290	0.012
00:02:30.720	0.032
00:02:31.150	0.019
00:02:31.580	0.012
00:02:32.010	0.019
00:02:32.440	0.012
00:02:32.860	0.006
00:02:33.290	0.019
00:02:33.720	0.006
00:02:34.150	-0.007
00:02:34.580	0.006
00:02:35.440	-0.013
00:02:36.300	-0.007
00:02:36.730	0.000
00:02:37.170	-0.013
00:02:37.600	0.000
00:02:38.030	-0.019
00:02:38.460	0.000
00:02:38.890	0.006
00:02:39.320	-0.007
00:02:40.180	0.006
00:02:40.620	-0.007
00:02:41.050	0.012
00:02:41.480	-0.007
00:02:41.910	-0.013
00:02:42.340	0.006
00:02:42.770	0.012
00:02:43.200	0.025
00:02:43.630	0.006
