time	Pump B:Pressure [bar]
00:00:00.010	0.000
00:00:05.656	0.000
00:00:06.495	0.800
00:00:06.925	0.000
00:00:11.745	0.000
00:00:12.314	0.800
00:00:12.744	1.600
00:00:13.189	3.400
00:00:13.615	4.200
00:00:14.505	5.100
00:00:14.945	6.000
00:00:15.434	6.800
00:00:15.825	7.700
00:00:16.265	8.600
00:00:17.125	8.600
00:00:23.645	8.600
00:00:24.075	8.600
00:00:24.515	7.700
00:00:24.955	8.600
00:00:39.125	8.600
00:00:39.375	9.400
00:00:39.815	9.400
00:00:48.244	9.400
00:00:48.673	7.700
00:00:49.138	5.100
00:00:49.583	4.200
00:00:50.013	3.400
00:00:50.448	2.500
00:00:50.883	1.600
00:00:52.183	0.800
00:00:52.613	1.600
00:00:53.043	0.800
00:00:57.374	0.800
00:00:57.793	0.000
00:00:58.223	0.800
00:00:59.093	0.000
00:01:00.414	0.000
00:01:00.853	0.800
00:01:01.773	0.000
00:01:02.633	0.800
00:01:03.063	0.000
00:01:03.493	0.800
00:01:05.484	0.800
00:01:06.073	0.000
00:01:06.503	0.800
00:01:06.933	0.000
00:01:07.363	0.800
00:01:07.803	0.000
00:01:08.663	0.800
00:01:09.523	0.000
00:01:09.953	0.800
00:01:10.383	0.000
00:01:11.243	0.800
00:01:11.672	0.000
00:01:12.533	0.800
00:01:13.393	0.000
00:01:13.823	0.800
00:01:15.624	0.800
00:01:16.412	0.000
00:01:17.654	0.000
00:01:18.572	0.800
00:01:19.002	0.000
00:01:20.694	0.000
00:01:20.722	0.800
00:01:21.152	0.000
00:01:23.734	0.000
00:01:23.742	0.800
00:01:25.032	0.000
00:01:25.892	0.800
00:01:26.762	0.000
00:01:28.804	0.000
00:01:29.777	0.800
00:01:30.212	0.000
00:01:31.512	0.800
00:01:31.942	0.000
00:01:33.242	0.800
00:01:34.102	0.000
00:01:34.962	0.800
00:01:35.822	0.000
00:01:38.943	0.000
00:01:39.262	0.800
00:01:39.692	0.000
00:01:40.552	0.800
00:01:40.982	0.000
00:01:41.412	0.800
00:01:41.842	0.000
00:01:43.003	0.000
00:01:43.572	0.800
00:01:44.432	0.000
00:01:47.063	0.000
00:01:47.472	0.800
00:01:47.902	0.000
00:01:49.083	0.000
00:01:49.621	0.800
00:01:50.052	0.000
00:01:50.911	0.800
00:01:51.771	0.000
00:01:52.201	0.800
00:01:53.491	0.000
00:01:54.351	0.800
00:01:54.785	0.000
00:01:55.641	0.800
00:01:56.501	0.000
00:01:58.213	0.000
00:01:58.231	0.800
00:01:59.951	0.000
00:02:18.493	0.000
00:02:19.031	0.800
00:02:19.461	0.000
00:02:24.572	0.000
00:02:25.090	0.800
00:02:25.520	0.000
00:02:26.602	0.000
00:02:26.810	0.800
00:02:27.260	0.000
00:02:28.570	0.800
00:02:29.000	0.000
00:02:30.290	0.800
00:02:30.720	0.000
00:02:32.010	0.800
00:02:32.440	0.000
00:02:34.712	0.000
00:02:35.010	0.800
00:02:35.440	0.000
00:02:45.872	0.000
00:02:46.250	0.800
00:02:46.680	0.000
00:02:56.012	0.000
00:02:56.580	0.800
00:02:57.440	0.000
00:03:06.151	0.000
00:03:06.499	0.800
00:03:06.929	0.000
00:03:26.431	0.000
00:03:27.199	0.800
00:03:27.629	0.000
00:03:38.601	0.000
00:03:39.238	0.800
00:03:39.658	0.000
00:03:40.948	0.800
00:03:41.378	0.000
00:03:42.238	0.800
00:03:42.668	0.000
00:03:52.790	0.000
00:03:53.388	0.800
00:03:53.808	0.000
00:04:44.509	0.000
00:04:45.036	0.800
00:04:47.549	0.800
00:04:47.986	1.600
00:04:57.689	1.600
00:04:58.516	2.500
00:04:58.936	1.600
00:05:00.729	1.600
00:05:01.036	2.500
00:05:02.716	1.600
00:05:03.136	2.500
00:05:03.556	1.600
00:05:03.986	2.500
00:05:04.826	1.600
00:05:05.246	2.500
00:05:36.218	2.500
00:05:36.415	1.600
00:05:37.255	2.500
00:05:39.258	2.500
00:05:39.365	1.600
00:05:40.205	2.500
00:05:40.635	1.600
00:05:41.055	2.500
00:05:41.475	1.600
00:05:42.314	2.500
00:05:42.735	1.600
00:05:43.155	2.500
00:05:43.575	1.600
00:05:45.255	2.500
00:05:45.675	1.600
00:06:07.648	1.600
00:06:08.444	0.800
00:06:08.874	1.600
00:06:10.697	1.600
00:06:10.984	0.800
00:06:11.404	1.600
00:06:12.664	0.800
00:06:13.094	1.600
00:06:15.767	1.600
00:06:16.464	0.800
00:06:16.884	1.600
00:06:17.304	0.800
00:06:19.817	0.800
00:06:20.254	1.600
00:06:20.674	0.800
00:06:21.094	1.600
00:06:21.513	0.800
00:06:22.857	0.800
00:06:23.193	1.600
00:06:23.613	0.800
00:06:24.033	1.600
00:06:24.463	0.800
00:06:25.907	0.800
00:06:26.143	1.600
00:06:26.563	0.800
00:06:48.207	0.800
00:06:49.143	0.000
00:06:51.256	0.000
00:06:52.123	0.800
00:06:52.543	0.000
00:07:12.733	0.000
