time	Pump B:Setpoint []
00:00:00.010	0.000
00:02:07.343	0.000
00:02:07.411	-38.000
00:04:40.449	-38.000
00:04:40.639	60.000
00:04:42.479	60.000
00:04:42.836	0.000
00:04:44.196	0.054
00:04:44.616	0.215
00:04:45.036	0.375
00:04:45.456	0.535
00:04:45.876	0.695
00:04:46.296	0.895
00:04:46.726	1.055
00:04:47.146	1.215
00:04:47.566	1.375
00:04:47.986	1.575
00:04:48.406	1.735
00:04:48.826	1.895
00:04:49.246	2.028
00:04:49.671	2.108
00:04:50.096	2.208
00:04:50.516	2.288
00:04:50.936	2.368
00:04:51.356	2.448
00:04:51.786	2.548
00:04:52.206	2.628
00:04:52.636	2.708
00:04:53.056	2.788
00:04:53.476	2.868
00:04:53.896	2.968
00:04:54.316	3.048
00:04:54.736	3.128
00:04:55.156	3.208
00:04:55.576	3.288
00:04:55.996	3.388
00:04:56.416	3.468
00:04:56.836	3.548
00:04:57.256	3.628
00:04:57.676	3.708
00:04:58.096	3.808
00:04:58.516	3.888
00:04:58.936	3.968
00:04:59.356	4.048
00:04:59.776	4.127
00:05:00.196	4.227
00:05:00.616	4.307
00:05:01.036	4.387
00:05:01.456	4.467
00:05:01.876	4.547
00:05:02.296	4.647
00:05:02.716	4.727
00:05:03.136	4.807
00:05:03.556	4.887
00:05:03.986	4.987
00:05:04.406	5.067
00:05:04.826	5.147
00:05:05.246	5.227
00:05:05.666	5.307
00:05:06.086	5.407
00:05:06.506	5.487
00:05:06.926	5.567
00:05:07.346	5.647
00:05:07.766	5.727
00:05:08.186	5.827
00:05:08.606	5.907
00:05:09.026	5.987
00:05:09.446	6.067
00:05:09.866	6.147
00:05:10.286	6.247
00:05:10.706	6.327
00:05:11.126	6.407
00:05:11.545	6.487
00:05:11.965	6.567
00:05:12.385	6.667
00:05:12.806	6.747
00:05:13.226	6.827
00:05:13.645	6.907
00:05:14.065	6.987
00:05:14.485	7.087
00:05:14.905	7.167
00:05:15.325	7.247
00:05:15.745	7.327
00:05:16.165	7.407
00:05:16.585	7.507
00:05:17.015	7.587
00:05:17.435	7.667
00:05:17.855	7.747
00:05:18.285	7.847
00:05:18.705	7.927
00:05:19.125	7.997
00:05:19.545	7.969
00:05:19.965	7.940
00:05:20.385	7.905
00:05:20.815	7.876
00:05:21.235	7.848
00:05:21.665	7.820
00:05:22.085	7.784
00:05:22.505	7.756
00:05:22.925	7.727
00:05:23.345	7.699
00:05:23.765	7.670
00:05:24.185	7.635
00:05:24.605	7.606
00:05:25.025	7.578
00:05:25.445	7.549
00:05:25.865	7.521
00:05:26.285	7.485
00:05:26.714	7.457
00:05:27.135	7.428
00:05:27.555	7.400
00:05:27.975	7.372
00:05:28.395	7.336
00:05:28.815	7.308
00:05:29.235	7.279
00:05:29.655	7.251
00:05:30.075	7.222
00:05:30.495	7.187
00:05:30.915	7.158
00:05:31.335	7.130
00:05:31.770	7.101
00:05:32.195	7.066
00:05:32.625	7.037
00:05:33.045	7.009
00:05:33.465	6.980
00:05:33.885	6.945
00:05:34.305	6.916
00:05:34.725	6.888
00:05:35.145	6.860
00:05:35.565	6.831
00:05:35.985	6.796
00:05:36.415	6.767
00:05:36.849	6.739
00:05:37.255	6.710
00:05:37.680	6.682
00:05:38.105	6.646
00:05:38.525	6.618
00:05:38.945	6.589
00:05:39.365	6.561
00:05:39.785	6.525
00:05:40.205	6.497
00:05:40.635	6.468
00:05:41.055	6.440
00:05:41.475	6.412
00:05:41.895	6.376
00:05:42.314	6.348
00:05:42.735	6.319
00:05:43.155	6.291
00:05:43.575	6.262
00:05:43.994	6.227
00:05:44.414	6.198
00:05:44.835	6.170
00:05:45.255	6.141
00:05:45.675	6.113
00:05:46.094	6.077
00:05:46.515	6.049
00:05:46.935	6.020
00:05:47.355	5.992
00:05:47.774	5.964
00:05:48.194	5.928
00:05:48.614	5.900
00:05:49.034	5.871
00:05:49.454	5.843
00:05:49.874	5.814
00:05:50.314	5.779
00:05:50.734	5.750
00:05:51.154	5.722
00:05:51.574	5.693
00:05:51.994	5.658
00:05:52.414	5.629
00:05:52.834	5.601
00:05:53.254	5.572
00:05:53.674	5.544
00:05:54.094	5.508
00:05:54.529	5.480
00:05:54.954	5.452
00:05:55.374	5.423
00:05:55.794	5.388
00:05:56.214	5.359
00:05:56.634	5.331
00:05:57.054	5.302
00:05:57.474	5.274
00:05:57.894	5.238
00:05:58.314	5.210
00:05:58.734	5.181
00:05:59.154	5.153
00:05:59.581	5.124
00:05:59.994	5.089
00:06:00.414	5.060
00:06:00.834	5.032
00:06:01.254	5.004
00:06:01.684	4.968
00:06:02.104	4.940
00:06:02.524	4.911
00:06:02.944	4.883
00:06:03.364	4.854
00:06:03.794	4.819
00:06:04.214	4.790
00:06:04.634	4.762
00:06:05.054	4.733
00:06:05.494	4.698
00:06:05.914	4.669
00:06:06.339	4.641
00:06:06.764	4.612
00:06:07.184	4.577
00:06:07.604	4.548
00:06:08.024	4.520
00:06:08.444	4.492
00:06:08.874	4.463
00:06:09.294	4.428
00:06:09.714	4.399
00:06:10.134	4.371
00:06:10.564	4.342
00:06:10.984	4.307
00:06:11.404	4.278
00:06:11.824	4.250
00:06:12.244	4.221
00:06:12.664	4.193
00:06:13.094	4.157
00:06:13.514	4.129
00:06:13.934	4.100
00:06:14.354	4.072
00:06:14.774	4.044
00:06:15.194	4.008
00:06:15.624	3.980
00:06:16.044	3.951
00:06:16.464	3.923
00:06:16.884	3.887
00:06:17.304	3.859
00:06:17.724	3.830
00:06:18.154	3.802
00:06:18.573	3.773
00:06:18.994	3.738
00:06:19.414	3.709
00:06:19.833	3.681
00:06:20.254	3.652
00:06:20.674	3.624
00:06:21.094	3.588
00:06:21.513	3.560
00:06:21.933	3.532
00:06:22.353	3.503
00:06:22.773	3.475
00:06:23.193	3.439
00:06:23.613	3.411
00:06:24.033	3.382
00:06:24.463	3.354
00:06:24.883	3.318
00:06:25.303	3.290
00:06:25.723	3.261
00:06:26.143	3.233
00:06:26.563	3.204
00:06:26.983	3.169
00:06:27.403	3.140
00:06:27.823	3.112
00:06:28.243	3.084
00:06:28.663	3.055
00:06:29.083	3.020
00:06:29.513	2.991
00:06:29.943	2.963
00:06:30.368	2.934
00:06:30.793	2.899
00:06:31.213	2.870
00:06:31.633	2.842
00:06:32.063	2.813
00:06:32.493	2.778
00:06:32.913	2.749
00:06:33.333	2.721
00:06:33.763	2.692
00:06:34.183	2.657
00:06:34.603	2.628
00:06:35.023	2.600
00:06:35.443	2.572
00:06:35.863	2.543
00:06:36.293	2.508
00:06:36.713	2.479
00:06:37.133	2.451
00:06:37.553	2.422
00:06:37.983	2.387
00:06:38.403	2.358
00:06:38.823	2.330
00:06:39.248	2.301
00:06:39.683	2.266
00:06:40.103	2.237
00:06:40.533	2.209
00:06:40.963	2.180
00:06:41.403	2.145
00:06:41.833	2.116
00:06:42.253	2.088
00:06:42.683	2.052
00:06:43.103	2.024
00:06:43.533	1.996
00:06:43.963	1.967
00:06:44.403	1.932
00:06:44.833	1.903
00:06:45.273	1.875
00:06:45.693	1.839
00:06:46.123	1.811
00:06:46.543	1.782
00:06:46.973	1.754
00:06:47.403	1.718
00:06:47.838	1.690
00:06:48.273	1.661
00:06:48.693	1.626
00:06:49.143	0.000
00:07:12.733	0.000
