time	Pump C:Displacement [µL]
00:00:00.010	30.390
00:00:11.745	30.390
00:00:11.954	30.490
00:00:12.384	30.670
00:00:12.814	30.890
00:00:13.274	31.140
00:00:13.734	31.420
00:00:14.154	31.640
00:00:14.604	31.760
00:00:15.044	31.880
00:00:15.494	31.990
00:00:15.924	32.070
00:00:16.354	32.130
00:00:16.784	32.200
00:00:17.224	32.280
00:00:17.654	32.340
00:00:18.094	32.400
00:00:18.544	32.460
00:00:18.984	32.510
00:00:19.414	32.580
00:00:19.844	32.640
00:00:20.274	32.700
00:00:20.704	32.760
00:00:21.134	32.820
00:00:21.564	32.880
00:00:21.994	33.160
00:00:22.424	33.480
00:00:22.874	33.720
00:00:23.304	33.930
00:00:23.744	34.140
00:00:24.174	34.340
00:00:24.614	34.560
00:00:25.054	34.770
00:00:25.484	34.990
00:00:25.934	35.210
00:00:26.374	35.440
00:00:26.814	35.660
00:00:27.264	35.900
00:00:27.704	36.130
00:00:28.144	36.360
00:00:28.574	36.590
00:00:29.044	36.850
00:00:29.474	37.090
00:00:29.904	37.320
00:00:30.334	37.560
00:00:30.794	37.820
00:00:31.224	38.060
00:00:31.664	38.310
00:00:32.094	38.560
00:00:32.524	38.810
00:00:32.964	39.060
00:00:33.394	39.310
00:00:33.834	39.560
00:00:34.263	39.810
00:00:34.694	40.070
00:00:35.129	40.320
00:00:35.574	40.580
00:00:36.014	40.830
00:00:36.444	41.080
00:00:36.884	41.330
00:00:37.314	41.580
00:00:37.753	41.840
00:00:38.184	42.080
00:00:38.614	42.330
00:00:39.044	42.570
00:00:39.474	42.830
00:00:39.904	43.080
00:00:40.334	43.340
00:00:40.778	43.600
00:00:41.213	43.840
00:00:41.644	44.090
00:00:42.074	44.330
00:00:42.503	44.570
00:00:42.934	44.820
00:00:43.383	45.070
00:00:43.813	45.330
00:00:44.243	45.580
00:00:44.673	45.830
00:00:45.113	46.080
00:00:45.573	46.350
00:00:46.003	46.610
00:00:46.433	46.860
00:00:46.863	47.110
00:00:48.244	47.110
00:00:48.288	47.950
00:00:48.753	47.960
00:01:01.424	47.960
00:01:01.843	48.440
00:01:02.273	48.700
00:01:02.703	48.900
00:01:03.133	49.050
00:01:03.563	49.160
00:01:03.993	49.280
00:01:04.423	49.410
00:01:04.853	49.550
00:01:05.283	49.690
00:01:05.713	49.840
00:01:06.143	49.980
00:01:06.573	50.120
00:01:07.003	50.260
00:01:07.433	50.410
00:01:07.873	50.560
00:01:08.303	50.700
00:01:08.733	50.850
00:01:09.162	50.990
00:01:09.598	51.130
00:01:10.023	51.270
00:01:10.453	51.420
00:01:10.883	51.570
00:01:11.313	51.710
00:01:11.743	51.850
00:01:12.172	52.000
00:01:12.603	52.140
00:01:13.033	52.290
00:01:13.463	52.430
00:01:13.893	52.570
00:01:14.333	52.720
00:01:14.763	52.860
00:01:15.192	53.010
00:01:15.622	53.150
00:01:16.053	53.290
00:01:16.482	53.440
00:01:16.912	53.580
00:01:17.342	53.720
00:01:17.772	53.860
00:01:18.202	54.000
00:01:18.642	54.150
00:01:19.072	54.290
00:01:19.502	54.430
00:01:19.932	54.570
00:01:20.362	54.710
00:01:20.792	54.850
00:01:21.222	54.990
00:01:21.652	55.140
00:01:22.082	55.280
00:01:22.512	55.420
00:01:22.942	55.570
00:01:23.372	55.710
00:01:23.812	55.860
00:01:24.242	56.010
00:01:24.672	56.150
00:01:25.102	56.300
00:01:25.532	56.440
00:01:25.962	56.590
00:01:26.402	56.730
00:01:26.832	56.880
00:01:27.262	57.020
00:01:27.692	57.170
00:01:28.122	57.310
00:01:28.552	57.460
00:01:28.982	57.600
00:01:29.412	57.740
00:01:29.852	57.890
00:01:30.282	58.040
00:01:30.712	58.170
00:01:31.152	58.310
00:01:31.582	58.450
00:01:32.012	58.600
00:01:32.442	58.740
00:01:32.872	58.880
00:01:33.312	59.020
00:01:33.742	59.160
00:01:34.172	59.300
00:01:34.602	59.440
00:01:35.032	59.590
00:01:35.462	59.730
00:01:35.892	59.870
00:01:36.322	60.020
00:01:36.752	60.160
00:01:37.182	60.310
00:01:37.612	60.450
00:01:38.042	60.600
00:01:38.472	60.740
00:01:38.902	60.890
00:01:39.332	61.040
00:01:39.762	61.180
00:01:40.192	61.320
00:01:40.622	61.460
00:01:41.052	61.610
00:01:41.482	61.750
00:01:41.912	61.890
00:01:42.342	62.040
00:01:42.782	62.180
00:01:43.212	62.320
00:01:43.642	62.470
00:01:44.072	62.610
00:01:44.502	62.750
00:01:44.942	62.900
00:01:45.372	63.040
00:01:45.812	63.190
00:01:46.242	63.330
00:01:46.676	63.480
00:01:47.111	63.620
00:01:47.542	63.770
00:01:47.972	63.910
00:01:48.402	64.050
00:01:48.832	64.190
00:01:49.262	64.340
00:01:49.691	64.480
00:01:50.121	64.630
