time	Pump C:Setpoint []
00:00:00.010	0.000
00:00:11.745	0.000
00:00:11.954	3.736
00:00:12.384	6.936
00:00:12.814	10.136
00:00:13.274	14.136
00:00:13.734	17.336
00:00:14.154	19.212
00:00:14.604	17.323
00:00:15.044	15.435
00:00:15.494	13.074
00:00:15.924	11.186
00:00:16.354	8.825
00:00:16.784	8.198
00:00:20.865	8.198
00:00:21.564	9.470
00:00:21.994	17.068
00:00:22.424	24.665
00:00:22.874	27.438
00:00:23.304	27.706
00:00:23.744	27.975
00:00:24.174	28.310
00:00:24.614	28.578
00:00:25.054	28.914
00:00:25.484	29.182
00:00:25.934	29.451
00:00:26.374	29.786
00:00:26.814	30.055
00:00:27.264	30.390
00:00:27.704	30.659
00:00:28.144	30.927
00:00:28.574	31.263
00:00:29.044	31.531
00:00:29.474	31.866
00:00:29.904	32.124
00:00:30.334	32.328
00:00:30.794	32.583
00:00:31.224	32.787
00:00:31.664	33.042
00:00:32.094	33.246
00:00:32.524	33.450
00:00:32.964	33.705
00:00:33.394	33.909
00:00:33.834	34.113
00:00:34.263	34.369
00:00:34.694	34.573
00:00:35.129	34.538
00:00:35.574	34.468
00:00:36.014	34.412
00:00:36.444	34.355
00:00:36.884	34.285
00:00:37.314	34.229
00:00:37.753	34.159
00:00:38.184	34.103
00:00:38.614	34.047
00:00:39.044	34.046
00:00:39.474	34.390
00:00:39.904	34.665
00:00:40.334	34.688
00:00:48.244	34.688
00:00:48.288	0.000
00:01:01.424	0.000
00:01:01.843	20.000
00:02:01.253	20.000
00:02:01.821	0.000
00:02:07.343	0.000
00:02:07.481	-200.000
00:04:40.449	-200.000
00:04:40.736	60.000
00:04:42.479	60.000
00:04:42.916	0.000
00:04:44.266	0.706
00:04:44.686	2.146
00:04:45.106	3.586
00:04:45.526	5.026
00:04:45.946	6.826
00:04:46.366	8.266
00:04:46.796	9.706
00:04:47.216	11.146
00:04:47.636	12.585
00:04:48.056	14.385
00:04:48.476	15.825
00:04:48.896	17.265
00:04:49.316	18.012
00:04:49.746	18.042
00:04:50.166	18.066
00:04:50.586	18.090
00:04:51.006	18.114
00:04:51.426	18.138
00:04:51.856	18.168
00:04:52.281	18.192
00:04:52.706	18.216
00:04:53.126	18.240
00:04:53.546	18.270
00:04:53.966	18.294
00:04:54.386	18.318
00:04:54.806	18.342
00:04:55.226	18.366
00:04:55.646	18.396
00:04:56.066	18.420
00:04:56.486	18.444
00:04:56.906	18.468
00:04:57.326	18.492
00:04:57.746	18.522
00:04:58.166	18.546
00:04:58.586	18.570
00:04:59.006	18.594
00:04:59.426	18.618
00:04:59.846	18.648
00:05:00.266	18.672
00:05:00.686	18.696
00:05:01.106	18.720
00:05:01.526	18.744
00:05:01.946	18.774
00:05:02.366	18.798
00:05:02.786	18.822
00:05:03.206	18.846
00:05:03.626	18.870
00:05:04.056	18.900
00:05:04.476	18.924
00:05:04.896	18.948
00:05:05.316	18.972
00:05:05.736	18.996
00:05:06.156	19.026
00:05:06.576	19.050
00:05:06.996	19.074
00:05:07.416	19.098
00:05:07.840	19.122
00:05:08.256	19.152
00:05:08.676	19.176
00:05:09.096	19.200
00:05:09.515	19.224
00:05:09.935	19.248
00:05:10.356	19.278
00:05:10.776	19.302
00:05:11.195	19.326
00:05:11.615	19.350
00:05:12.036	19.374
00:05:12.456	19.404
00:05:12.876	19.428
00:05:13.295	19.452
00:05:13.715	19.476
00:05:14.136	19.500
00:05:14.555	19.530
00:05:14.975	19.554
00:05:15.395	19.578
00:05:15.815	19.602
00:05:16.235	19.626
00:05:16.655	19.656
00:05:17.085	19.680
00:05:17.505	19.704
00:05:17.925	19.728
00:05:18.355	19.758
00:05:18.775	19.782
00:05:19.195	19.783
00:05:19.615	19.713
00:05:20.035	19.643
00:05:20.455	19.555
00:05:20.885	19.485
00:05:21.305	19.415
00:05:21.735	19.344
00:05:22.155	19.257
00:05:22.575	19.186
00:05:22.995	19.116
00:05:23.415	19.046
00:05:23.835	18.976
00:05:24.255	18.888
00:05:24.675	18.818
00:05:25.095	18.747
00:05:25.515	18.677
00:05:25.935	18.607
00:05:26.355	18.519
00:05:26.785	18.449
00:05:27.205	18.379
00:05:27.625	18.309
00:05:28.045	18.221
00:05:28.465	18.151
00:05:28.885	18.080
00:05:29.305	18.010
00:05:29.725	17.940
00:05:30.145	17.852
00:05:30.565	17.782
00:05:30.985	17.712
00:05:31.405	17.641
00:05:31.845	17.554
00:05:32.265	17.483
00:05:32.695	17.413
00:05:33.115	17.343
00:05:33.535	17.273
00:05:33.955	17.185
00:05:34.375	17.115
00:05:34.795	17.045
00:05:35.215	16.974
00:05:35.635	16.904
00:05:36.055	16.816
00:05:36.485	16.746
00:05:36.905	16.676
00:05:37.325	16.606
00:05:37.755	16.518
00:05:38.175	16.448
00:05:38.595	16.377
00:05:39.015	16.307
00:05:39.435	16.237
00:05:39.855	16.149
00:05:40.275	16.079
00:05:40.705	16.009
