time	Pump D:Displacement [µL]
00:00:00.010	2.990
00:00:11.745	2.990
00:00:12.024	3.000
00:00:12.454	3.070
00:00:12.884	3.140
00:00:13.354	3.220
00:00:13.784	3.280
00:00:14.224	3.370
00:00:14.674	3.570
00:00:15.114	3.790
00:00:15.574	4.080
00:00:16.004	4.390
00:00:16.434	4.730
00:00:16.869	5.040
00:00:17.304	5.300
00:00:17.734	5.530
00:00:18.179	5.760
00:00:18.629	6.000
00:00:19.064	6.210
00:00:19.494	6.440
00:00:19.934	6.660
00:00:20.354	6.880
00:00:20.784	7.100
00:00:21.214	7.320
00:00:21.644	7.530
00:00:22.074	7.620
00:00:22.514	7.650
00:00:22.954	7.730
00:00:23.384	7.810
00:00:23.824	7.890
00:00:24.254	7.970
00:00:24.694	8.040
00:00:25.134	8.120
00:00:25.554	8.200
00:00:26.004	8.280
00:00:26.444	8.360
00:00:26.884	8.430
00:00:27.334	8.500
00:00:27.784	8.570
00:00:28.224	8.640
00:00:28.659	8.700
00:00:29.124	8.760
00:00:29.554	8.820
00:00:29.984	8.880
00:00:30.419	8.930
00:00:30.874	8.990
00:00:31.309	9.040
00:00:31.754	9.100
00:00:32.184	9.140
00:00:32.609	9.190
00:00:33.044	9.240
00:00:33.474	9.280
00:00:33.914	9.330
00:00:34.343	9.370
00:00:34.774	9.410
00:00:35.214	9.450
00:00:35.654	9.480
00:00:36.094	9.520
00:00:36.524	9.550
00:00:36.964	9.590
00:00:37.394	9.620
00:00:37.834	9.650
00:00:38.264	9.670
00:00:38.694	9.700
00:00:39.124	9.710
00:00:44.195	9.710
00:00:44.753	9.720
00:00:46.215	9.720
00:00:46.503	9.730
00:00:48.244	9.730
00:00:48.368	9.760
00:01:01.424	9.760
00:01:02.343	9.770
00:02:07.343	9.770
00:02:07.551	9.600
00:02:07.981	9.400
00:02:08.411	9.190
00:02:08.841	8.980
00:02:09.271	8.770
00:02:09.701	8.560
00:02:10.131	8.360
00:02:10.561	8.150
00:02:10.991	7.940
00:02:11.421	7.730
00:02:11.851	7.520
00:02:12.281	7.320
00:02:12.711	7.110
00:02:13.141	6.900
00:02:13.571	6.690
00:02:13.991	6.490
00:02:14.421	6.280
00:02:14.861	6.070
00:02:15.301	5.860
00:02:15.721	5.650
00:02:16.151	5.450
00:02:16.581	5.240
00:02:17.011	5.030
00:02:17.441	4.820
00:02:17.881	4.610
00:02:18.311	4.400
00:02:18.741	4.190
00:02:19.170	3.990
00:02:19.610	3.770
00:02:20.041	3.570
00:02:20.471	3.360
00:02:20.901	3.150
00:02:21.331	2.940
00:02:21.761	2.730
00:02:22.190	2.530
00:02:22.620	2.320
00:02:23.050	2.110
00:02:23.491	1.900
00:02:23.920	1.690
00:02:24.370	1.470
00:02:24.800	1.260
00:02:25.230	1.060
00:02:25.660	0.850
00:02:26.090	0.640
00:02:26.520	0.430
00:02:26.950	0.230
00:02:27.400	0.010
00:02:27.850	0.000
00:04:40.449	0.000
00:04:40.806	0.350
00:04:41.246	0.790
00:04:41.666	1.220
00:04:42.096	1.640
00:04:42.539	2.060
00:04:42.996	2.090
00:04:44.509	2.090
00:04:44.756	2.100
00:04:45.176	2.110
00:04:46.016	2.120
00:04:46.436	2.130
00:04:46.866	2.140
00:04:47.286	2.150
00:04:47.706	2.160
00:04:48.126	2.170
00:04:48.546	2.190
00:04:48.966	2.200
00:04:49.386	2.220
00:04:49.816	2.230
00:04:50.236	2.240
00:04:50.656	2.260
00:04:51.076	2.270
00:04:51.496	2.280
00:04:51.926	2.300
00:04:52.356	2.310
00:04:52.776	2.320
00:04:53.196	2.330
00:04:53.616	2.340
00:04:54.036	2.360
00:04:54.456	2.370
00:04:54.876	2.380
00:04:55.296	2.390
00:04:55.716	2.400
00:04:56.136	2.410
00:04:56.556	2.420
00:04:56.976	2.430
00:04:57.396	2.440
00:04:57.816	2.450
00:04:58.236	2.460
00:04:58.656	2.470
00:04:59.076	2.480
00:04:59.496	2.490
00:04:59.916	2.500
00:05:00.336	2.510
00:05:00.756	2.520
00:05:01.176	2.530
00:05:02.016	2.540
00:05:02.436	2.550
00:05:02.856	2.560
00:05:03.696	2.570
00:05:04.126	2.580
00:05:04.546	2.590
00:05:05.386	2.600
00:05:05.806	2.610
00:05:06.646	2.620
00:05:07.066	2.630
00:05:07.905	2.640
00:05:08.746	2.650
00:05:09.586	2.660
00:05:10.426	2.670
00:05:11.266	2.680
00:05:12.525	2.690
00:05:13.366	2.700
00:05:14.625	2.710
00:05:15.939	2.710
00:05:16.305	2.720
00:05:18.979	2.720
00:05:19.265	2.730
00:05:22.019	2.730
00:05:22.645	2.740
00:05:25.069	2.740
00:05:26.005	2.750
00:05:29.118	2.750
00:05:29.795	2.760
00:05:33.178	2.760
00:05:33.185	2.770
00:05:36.218	2.770
00:05:36.555	2.780
00:05:40.278	2.780
00:05:40.775	2.790
00:05:45.348	2.790
00:05:45.815	2.800
00:05:50.418	2.800
00:05:50.874	2.810
00:05:55.488	2.810
00:05:56.354	2.820
00:06:01.568	2.820
00:06:01.824	2.830
00:06:07.648	2.830
00:06:08.164	2.840
00:06:14.747	2.840
00:06:15.764	2.850
00:06:25.907	2.850
00:06:26.283	2.860
00:06:41.117	2.860
00:06:41.543	2.870
00:07:12.733	2.870
