time	Pump D:Pump speed [µL/min]
00:00:00.010	0.000
00:00:10.725	0.000
00:00:11.589	0.490
00:00:12.024	6.113
00:00:12.454	5.767
00:00:12.884	10.527
00:00:13.354	10.262
00:00:13.784	8.844
00:00:14.224	30.807
00:00:14.674	27.936
00:00:15.114	28.652
00:00:15.574	39.104
00:00:16.004	41.587
00:00:16.434	56.390
00:00:16.869	37.152
00:00:17.304	31.864
00:00:17.734	30.931
00:00:18.179	30.308
00:00:18.629	30.530
00:00:19.064	30.329
00:00:19.494	30.912
00:00:19.934	31.262
00:00:20.354	32.825
00:00:20.784	29.883
00:00:21.214	31.973
00:00:21.644	11.779
00:00:22.074	11.839
00:00:22.514	4.070
00:00:22.954	8.875
00:00:23.384	12.010
00:00:23.824	11.742
00:00:24.254	10.724
00:00:24.694	10.901
00:00:25.134	10.162
00:00:25.554	11.560
00:00:26.004	11.203
00:00:26.444	9.452
00:00:26.884	9.613
00:00:27.334	9.169
00:00:27.784	9.725
00:00:28.224	8.719
00:00:28.659	9.306
00:00:29.124	8.189
00:00:29.554	8.304
00:00:29.984	8.262
00:00:30.419	7.652
00:00:30.874	6.931
00:00:31.309	6.680
00:00:31.754	5.843
00:00:32.184	7.381
00:00:32.609	7.716
00:00:33.044	6.299
00:00:33.474	5.624
00:00:33.914	5.984
00:00:34.343	6.515
00:00:34.774	5.369
00:00:35.214	6.637
00:00:35.654	5.743
00:00:36.094	3.760
00:00:36.524	4.676
00:00:36.964	3.952
00:00:37.394	5.482
00:00:37.834	4.549
00:00:38.264	4.449
00:00:38.694	3.376
00:00:39.124	0.000
00:00:40.135	0.000
00:00:40.414	0.745
00:00:40.864	0.000
00:00:43.175	0.000
00:00:43.463	0.014
00:00:43.893	0.000
00:00:44.753	0.612
00:00:45.193	0.599
00:00:45.643	0.000
00:00:46.073	0.850
00:00:46.503	0.709
00:00:46.933	0.256
00:00:48.244	0.256
00:00:48.368	0.000
00:01:01.424	0.000
00:01:01.913	0.388
00:01:02.343	0.459
00:01:02.773	0.000
00:01:28.804	0.000
00:01:29.482	0.008
00:01:29.922	0.000
00:01:35.904	0.000
00:01:36.392	0.047
00:01:36.822	0.000
00:01:38.943	0.000
