time	Pump D:Setpoint []
00:00:00.010	0.000
00:00:13.776	0.000
00:00:14.224	2.905
00:00:14.674	8.023
00:00:15.114	14.421
00:00:15.574	19.539
00:00:16.004	24.658
00:00:16.434	31.056
00:00:16.869	31.990
00:00:20.865	31.990
00:00:21.644	29.578
00:00:22.074	21.980
00:00:22.514	12.978
00:00:22.954	12.709
00:00:23.384	12.441
00:00:23.824	12.106
00:00:24.254	11.837
00:00:24.694	11.569
00:00:25.134	11.233
00:00:25.554	10.965
00:00:26.004	10.696
00:00:26.444	10.361
00:00:26.884	10.093
00:00:27.334	9.757
00:00:27.784	9.489
00:00:28.224	9.153
00:00:28.659	8.885
00:00:29.124	8.549
00:00:29.554	8.281
00:00:29.984	8.033
00:00:30.419	7.778
00:00:30.874	7.574
00:00:31.309	7.319
00:00:31.754	7.115
00:00:32.184	6.911
00:00:32.609	6.707
00:00:33.044	6.452
00:00:33.474	6.247
00:00:33.914	5.992
00:00:34.343	5.788
00:00:34.774	5.585
00:00:35.214	5.335
00:00:35.654	5.135
00:00:36.094	4.935
00:00:36.524	4.686
00:00:36.964	4.486
00:00:37.394	4.286
00:00:37.834	4.036
00:00:38.264	3.836
00:00:38.694	3.637
00:00:39.124	2.706
00:00:39.554	1.306
00:00:39.984	0.000
00:02:07.343	0.000
00:02:07.551	-29.000
00:04:40.449	-29.000
00:04:40.806	60.000
00:04:42.479	60.000
00:04:42.996	0.000
00:04:44.336	0.102
00:04:44.756	0.262
00:04:45.176	0.422
00:04:45.596	0.582
00:04:46.016	0.782
00:04:46.436	0.942
00:04:46.866	1.102
00:04:47.286	1.262
00:04:47.706	1.462
00:04:48.126	1.622
00:04:48.546	1.782
00:04:48.966	1.942
00:04:49.386	1.985
00:04:49.816	1.955
00:04:50.236	1.931
00:04:50.656	1.907
00:04:51.076	1.883
00:04:51.496	1.859
00:04:51.926	1.829
00:04:52.356	1.805
00:04:52.776	1.781
00:04:53.196	1.757
00:04:53.616	1.727
00:04:54.036	1.703
00:04:54.456	1.679
00:04:54.876	1.655
00:04:55.296	1.631
00:04:55.716	1.601
00:04:56.136	1.577
00:04:56.556	1.553
00:04:56.976	1.529
00:04:57.396	1.505
00:04:57.816	1.475
00:04:58.236	1.451
00:04:58.656	1.427
00:04:59.076	1.403
00:04:59.496	1.379
00:04:59.916	1.349
00:05:00.336	1.325
00:05:00.756	1.301
00:05:01.176	1.277
00:05:01.596	1.253
00:05:02.016	1.223
00:05:02.436	1.199
00:05:02.856	1.175
00:05:03.276	1.151
00:05:03.696	1.127
00:05:04.126	1.097
00:05:04.546	1.073
00:05:04.966	1.049
00:05:05.386	1.025
00:05:05.806	0.995
00:05:06.226	0.971
00:05:06.646	0.947
00:05:07.066	0.923
00:05:07.485	0.899
00:05:07.905	0.869
00:05:08.326	0.845
00:05:08.746	0.821
00:05:09.166	0.797
00:05:09.586	0.773
00:05:10.006	0.743
00:05:10.426	0.719
00:05:10.846	0.695
00:05:11.266	0.671
00:05:11.686	0.647
00:05:12.105	0.617
00:05:12.525	0.593
00:05:12.945	0.569
00:05:13.366	0.545
00:05:13.786	0.521
00:05:14.205	0.491
00:05:14.625	0.467
00:05:15.045	0.443
00:05:15.465	0.419
00:05:15.885	0.395
00:05:16.305	0.365
00:05:16.725	0.341
00:05:17.155	0.317
00:05:17.575	0.293
00:05:17.995	0.269
00:05:18.425	0.239
00:05:18.845	0.215
00:05:19.265	0.200
00:05:19.685	0.199
00:05:20.105	0.198
00:05:20.525	0.197
00:05:20.955	0.196
00:05:21.375	0.195
00:05:21.805	0.194
00:05:22.225	0.193
