time	Pump HP:Displacement [µL]
00:00:00.010	24.020
00:00:02.616	24.020
00:00:02.825	23.730
00:00:03.244	21.630
00:00:03.675	19.480
00:00:04.105	17.330
00:00:04.545	15.120
00:00:04.975	12.970
00:00:05.405	10.830
00:00:05.845	8.630
00:00:06.274	6.480
00:00:06.704	4.330
00:00:07.135	2.170
00:00:07.565	0.030
00:00:08.014	0.000
00:00:08.480	0.690
00:00:08.959	1.480
00:00:09.454	2.300
00:00:09.914	3.060
00:00:10.384	3.840
00:00:10.804	4.540
00:00:11.234	4.690
00:00:11.664	4.740
00:00:12.094	4.780
00:00:12.524	4.820
00:00:12.954	4.860
00:00:13.394	4.890
00:00:13.874	4.870
00:00:14.754	4.900
00:00:15.199	4.920
00:00:15.634	4.960
00:00:16.064	5.010
00:00:16.494	5.060
00:00:16.934	5.120
00:00:17.364	5.190
00:00:17.794	5.260
00:00:18.244	5.340
00:00:18.694	5.420
00:00:19.124	5.500
00:00:19.554	5.570
00:00:19.984	5.640
00:00:20.414	5.700
00:00:20.844	5.760
00:00:21.274	5.810
00:00:21.704	5.850
00:00:22.134	5.890
00:00:22.584	5.920
00:00:23.014	5.940
00:00:23.444	5.960
00:00:23.884	5.980
00:00:24.314	5.990
00:00:24.754	6.000
00:00:25.194	6.020
00:00:25.639	6.030
00:00:26.084	6.040
00:00:26.524	6.050
00:00:26.969	6.070
00:00:27.414	6.090
00:00:27.844	6.110
00:00:28.284	6.130
00:00:28.724	6.160
00:00:29.184	6.190
00:00:29.614	6.220
00:00:30.044	6.250
00:00:30.494	6.290
00:00:30.934	6.330
00:00:31.374	6.370
00:00:31.804	6.400
00:00:32.234	6.440
00:00:32.674	6.480
00:00:33.104	6.510
00:00:33.534	6.550
00:00:33.973	6.590
00:00:34.403	6.620
00:00:34.834	6.660
00:00:35.274	6.690
00:00:35.713	6.720
00:00:36.154	6.760
00:00:36.584	6.790
00:00:37.024	6.820
00:00:37.454	6.850
00:00:37.894	6.880
00:00:38.324	6.910
00:00:38.753	6.940
00:00:39.183	6.970
00:00:39.614	7.000
00:00:40.044	7.030
00:00:40.474	7.060
00:00:40.924	7.090
00:00:41.354	7.120
00:00:41.783	7.150
00:00:42.213	7.180
00:00:42.644	7.220
00:00:43.073	7.250
00:00:43.523	7.280
00:00:43.953	7.310
00:00:44.383	7.340
00:00:44.823	7.380
00:00:45.713	7.430
00:00:46.143	7.460
00:00:46.573	7.490
00:00:47.003	7.530
00:00:48.244	7.530
00:00:48.448	7.640
00:00:48.918	7.750
00:00:49.363	7.840
00:00:49.793	7.920
00:00:50.223	7.980
00:00:50.663	8.040
00:00:51.093	8.090
00:00:51.533	8.140
00:00:51.963	8.190
00:00:52.393	8.230
00:00:52.823	8.270
00:00:53.253	8.300
00:00:53.683	8.340
00:00:54.113	8.370
00:00:54.543	8.410
00:00:54.978	8.440
00:00:55.413	8.480
00:00:55.843	8.510
00:00:56.273	8.540
00:00:56.703	8.570
00:00:57.138	8.610
00:00:57.573	8.640
00:00:58.003	8.670
00:00:58.433	8.700
00:00:58.863	8.730
00:00:59.303	8.770
00:00:59.733	8.800
00:01:00.163	8.830
00:01:00.608	8.860
00:01:01.093	8.890
00:01:01.983	8.980
00:01:02.413	9.030
00:01:02.843	9.070
00:01:03.273	9.110
00:01:03.703	9.150
00:01:04.133	9.180
00:01:04.563	9.220
00:01:04.993	9.260
00:01:05.423	9.300
00:01:05.853	9.340
00:01:06.283	9.370
00:01:06.713	9.410
00:01:07.143	9.450
00:01:07.578	9.490
00:01:08.013	9.520
00:01:08.443	9.560
00:01:08.873	9.600
00:01:09.303	9.630
00:01:09.733	9.670
00:01:10.162	9.700
00:01:10.593	9.740
00:01:11.023	9.770
00:01:11.453	9.810
00:01:11.883	9.840
00:01:12.313	9.880
00:01:12.743	9.910
00:01:13.173	9.950
00:01:13.603	9.980
00:01:14.033	10.010
00:01:14.473	10.050
00:01:14.903	10.080
00:01:15.333	10.120
00:01:15.763	10.150
00:01:16.193	10.180
00:01:16.622	10.220
00:01:17.052	10.250
00:01:17.482	10.290
00:01:17.912	10.320
00:01:18.352	10.350
00:01:18.782	10.390
00:01:19.212	10.420
00:01:19.642	10.450
00:01:20.072	10.480
00:01:20.502	10.520
00:01:20.932	10.550
00:01:21.362	10.580
00:01:21.792	10.610
00:01:22.222	10.650
00:01:22.652	10.680
00:01:23.082	10.710
00:01:23.512	10.740
00:01:23.952	10.780
00:01:24.382	10.810
00:01:24.812	10.840
00:01:25.242	10.870
00:01:25.672	10.900
00:01:26.102	10.930
00:01:26.542	10.970
00:01:26.972	11.000
00:01:27.408	11.030
00:01:27.832	11.060
00:01:28.262	11.090
00:01:28.692	11.120
00:01:29.122	11.140
00:01:29.552	11.170
00:01:29.992	11.190
00:01:30.422	11.220
00:01:30.860	11.240
00:01:31.292	11.260
00:01:31.722	11.280
00:01:32.152	11.300
00:01:32.582	11.320
00:01:33.022	11.340
00:01:33.452	11.350
00:01:33.882	11.370
00:01:34.312	11.380
00:01:34.742	11.400
00:01:35.172	11.410
00:01:35.602	11.430
00:01:36.032	11.440
00:01:36.462	11.460
00:01:36.892	11.470
00:01:37.322	11.480
00:01:37.752	11.490
00:01:38.182	11.500
00:01:38.612	11.510
00:01:39.042	11.520
00:01:39.472	11.530
00:01:39.902	11.540
00:01:40.332	11.550
00:01:40.762	11.560
00:01:41.192	11.570
00:01:41.622	11.580
00:01:42.052	11.590
00:01:42.482	11.600
00:01:42.922	11.610
00:01:43.352	11.620
00:01:44.212	11.630
00:01:44.659	11.640
00:01:45.081	11.650
00:01:45.952	11.660
00:01:46.382	11.670
00:01:47.252	11.680
00:01:47.682	11.690
00:01:48.542	11.700
00:01:49.402	11.710
00:01:49.832	11.720
00:01:50.692	11.730
00:01:51.551	11.740
00:01:51.981	11.750
00:01:52.841	11.760
00:01:53.701	11.770
00:01:54.561	11.780
00:01:55.421	11.790
00:01:56.281	11.800
00:01:57.571	11.810
00:01:58.871	11.820
00:01:59.731	11.830
00:02:01.253	11.830
00:02:01.526	11.840
00:02:03.251	11.850
00:02:05.313	11.850
00:02:06.271	11.860
00:02:08.353	11.860
00:02:09.341	11.850
00:02:10.383	11.850
00:02:10.631	11.840
00:02:11.491	11.830
00:02:12.351	11.820
00:02:13.423	11.820
00:02:13.651	11.810
00:02:14.496	11.800
00:02:15.791	11.790
00:02:16.651	11.780
00:02:17.516	11.770
00:02:18.381	11.760
00:02:19.503	11.760
00:02:20.111	11.770
00:02:20.971	11.780
00:02:21.401	11.790
00:02:21.831	11.800
00:02:22.261	11.810
00:02:22.691	11.820
00:02:23.126	11.830
00:02:23.561	11.840
00:02:23.990	11.850
00:02:24.441	11.860
00:02:24.870	11.870
00:02:25.300	11.880
00:02:26.160	11.890
00:02:26.590	11.900
00:02:27.025	11.910
00:02:27.470	11.920
00:02:27.920	11.930
00:02:28.350	11.950
00:02:28.780	11.960
00:02:29.210	11.970
00:02:29.640	11.980
00:02:30.070	11.990
00:02:30.500	12.000
00:02:30.930	12.010
00:02:31.360	12.030
00:02:31.790	12.040
00:02:32.220	12.050
00:02:32.650	12.060
00:02:33.070	12.070
00:02:33.500	12.090
00:02:33.930	12.100
00:02:34.360	12.110
00:02:34.790	12.120
00:02:35.220	12.140
00:02:35.650	12.150
00:02:36.080	12.160
00:02:36.510	12.180
00:02:36.940	12.190
00:02:37.380	12.200
00:02:37.810	12.220
00:02:38.240	12.230
00:02:38.670	12.240
00:02:39.100	12.260
00:02:39.530	12.270
00:02:39.960	12.280
00:02:40.390	12.300
00:02:40.830	12.310
00:02:41.260	12.320
00:02:41.690	12.340
00:02:42.120	12.350
00:02:42.550	12.370
00:02:42.980	12.380
00:02:43.410	12.390
00:02:43.850	12.410
00:02:44.330	12.420
00:02:44.740	12.440
00:02:45.170	12.450
00:02:45.600	12.460
00:02:46.030	12.480
00:02:46.460	12.490
00:02:46.890	12.510
00:02:47.320	12.520
00:02:47.750	12.530
00:02:48.190	12.550
00:02:48.620	12.560
00:02:49.050	12.580
00:02:49.480	12.590
00:02:49.910	12.610
00:02:50.330	12.620
00:02:50.760	12.640
00:02:51.190	12.650
00:02:51.619	12.660
00:02:52.060	12.680
00:02:52.490	12.690
00:02:52.920	12.710
00:02:53.350	12.720
00:02:53.780	12.740
00:02:54.210	12.750
00:02:54.639	12.770
00:02:55.069	12.780
00:02:55.500	12.790
00:02:55.930	12.810
00:02:56.360	12.820
00:02:56.790	12.840
00:02:57.219	12.850
00:02:57.649	12.870
00:02:58.084	12.880
00:02:58.519	12.890
00:02:58.949	12.910
00:02:59.380	12.920
00:02:59.809	12.940
00:03:00.249	12.950
00:03:00.679	12.970
00:03:01.109	12.980
00:03:01.539	13.000
00:03:01.969	13.010
00:03:02.399	13.020
00:03:02.829	13.040
00:03:03.259	13.050
00:03:03.689	13.070
00:03:04.119	13.080
00:03:04.549	13.100
00:03:04.979	13.110
00:03:05.419	13.120
00:03:05.849	13.140
