time	Pump HP:Pressure [bar]
00:00:00.010	282.900
00:00:00.020	280.300
00:00:00.445	277.700
00:00:00.995	274.200
00:00:01.480	271.600
00:00:01.930	0.000
00:00:03.244	-0.800
00:00:06.676	-0.800
00:00:07.565	-1.700
00:00:08.014	0.000
00:00:08.480	38.900
00:00:08.959	102.000
00:00:09.454	169.500
00:00:09.914	234.400
00:00:10.384	298.500
00:00:10.804	359.000
00:00:11.234	369.400
00:00:12.756	369.400
00:00:13.394	368.500
00:00:13.874	364.200
00:00:14.309	359.900
00:00:14.754	357.300
00:00:15.796	357.300
00:00:16.064	359.000
00:00:16.494	360.800
00:00:16.934	363.400
00:00:17.364	366.800
00:00:17.794	371.100
00:00:18.244	374.600
00:00:18.694	379.800
00:00:19.124	383.300
00:00:19.554	387.600
00:00:19.984	391.000
00:00:20.414	393.600
00:00:20.844	395.400
00:00:21.274	397.100
00:00:21.704	398.000
00:00:22.584	397.100
00:00:23.014	396.200
00:00:23.444	394.500
00:00:23.884	392.800
00:00:24.314	391.000
00:00:24.754	388.500
00:00:25.194	386.700
00:00:25.639	384.100
00:00:26.084	381.500
00:00:26.524	379.800
00:00:26.969	378.100
00:00:27.414	377.200
00:00:27.844	376.300
00:00:28.284	375.500
00:00:28.724	374.600
00:00:29.995	374.600
00:00:30.934	375.500
00:00:31.804	376.300
00:00:32.234	377.200
00:00:33.104	378.100
00:00:34.403	378.900
00:00:37.095	378.900
00:00:37.894	378.100
00:00:40.135	378.100
00:00:40.474	377.200
00:00:45.205	377.200
00:00:45.713	375.500
00:00:48.244	375.500
00:00:48.448	373.700
00:00:48.918	372.900
00:00:49.363	373.700
00:00:49.793	374.600
00:00:51.285	374.600
00:00:51.963	375.500
00:00:52.393	374.600
00:00:53.253	375.500
00:01:00.414	375.500
00:01:01.093	374.600
00:01:01.983	378.100
00:01:02.413	378.900
00:01:02.843	379.800
00:01:03.703	380.700
00:01:04.133	381.500
00:01:04.563	382.400
00:01:04.993	383.300
00:01:05.853	384.100
00:01:06.713	385.000
00:01:07.578	385.900
00:01:08.443	386.700
00:01:09.303	387.600
00:01:10.554	387.600
00:01:10.593	388.500
00:01:11.883	389.300
00:01:13.594	389.300
00:01:13.603	390.200
00:01:15.333	391.000
00:01:17.654	391.000
00:01:17.912	391.900
00:01:18.352	391.000
00:01:18.782	391.900
00:01:19.642	391.000
00:01:20.072	391.900
00:01:25.764	391.900
00:01:26.102	391.000
00:01:28.804	391.000
00:01:29.122	390.200
00:01:29.552	389.300
00:01:29.992	388.500
00:01:30.422	387.600
00:01:30.860	386.700
00:01:31.292	385.900
00:01:31.722	385.000
00:01:32.152	383.300
00:01:32.582	382.400
00:01:33.022	381.500
00:01:33.452	379.800
00:01:33.882	378.100
00:01:34.312	377.200
00:01:34.742	375.500
00:01:35.172	373.700
00:01:35.602	372.000
00:01:36.032	370.300
00:01:36.462	369.400
00:01:36.892	367.700
00:01:37.322	366.000
00:01:37.752	364.200
