time	Pump HP:Setpoint []
00:00:00.010	0.000
00:00:02.616	0.000
00:00:02.825	-300.000
00:00:07.686	-300.000
00:00:08.480	370.000
00:00:12.756	370.000
00:00:13.394	4.500
00:00:45.205	4.500
00:00:45.713	377.000
00:01:00.414	377.000
00:01:00.608	0.000
00:01:01.093	4.500
00:01:27.794	4.500
00:01:28.262	4.484
00:01:28.692	4.464
00:01:29.122	4.444
00:01:29.552	4.419
00:01:29.992	4.399
00:01:30.422	4.379
00:01:30.860	4.354
00:01:31.292	4.334
00:01:31.722	4.314
00:01:32.152	4.289
00:01:32.582	4.269
00:01:33.022	4.249
00:01:33.452	4.224
00:01:33.882	4.204
00:01:34.312	4.184
00:01:34.742	4.164
00:01:35.172	4.139
00:01:35.602	4.119
00:01:36.032	4.099
00:01:36.462	4.074
00:01:36.892	4.054
00:01:37.322	4.034
00:01:37.752	4.009
00:01:38.182	3.989
00:01:38.612	3.969
00:01:39.042	3.949
00:01:39.472	3.924
00:01:39.902	3.904
00:01:40.332	3.884
00:01:40.762	3.859
00:01:41.192	3.839
00:01:41.622	3.819
00:01:42.052	3.794
00:01:42.482	3.774
00:01:42.922	3.754
00:01:43.352	3.729
00:01:43.782	3.709
00:01:44.212	3.689
00:01:44.659	3.669
00:01:45.081	3.644
00:01:45.512	3.624
00:01:45.952	3.599
00:01:46.382	3.579
00:01:46.822	3.559
00:01:47.252	3.534
00:01:47.682	3.514
00:01:48.111	3.494
00:01:48.542	3.474
00:01:48.972	3.449
00:01:49.402	3.429
00:01:49.832	3.409
00:01:50.262	3.384
00:01:50.691	3.364
00:01:51.121	3.344
00:01:51.551	3.319
00:01:51.981	3.299
00:01:52.411	3.279
00:01:52.841	3.259
00:01:53.271	3.234
00:01:53.701	3.214
00:01:54.131	3.194
00:01:54.561	3.169
00:01:54.991	3.149
00:01:55.421	3.129
00:01:55.851	3.104
00:01:56.281	3.084
00:01:56.711	3.064
00:01:57.141	3.044
00:01:57.571	3.019
00:01:58.011	2.999
00:01:58.441	2.979
00:01:58.871	2.954
00:01:59.301	2.934
00:01:59.731	2.914
00:02:00.161	2.889
00:02:00.591	2.869
00:02:01.021	2.849
00:02:01.526	2.824
00:02:01.961	2.799
00:02:02.391	2.779
00:02:02.821	2.759
00:02:03.251	2.734
00:02:03.691	2.714
00:02:04.121	2.694
00:02:04.551	2.669
00:02:04.981	2.649
00:02:05.411	2.629
00:02:05.841	2.609
00:02:06.271	2.584
00:02:06.716	2.564
00:02:07.196	2.539
00:02:07.621	2.519
00:02:08.051	2.494
00:02:08.481	2.474
00:02:08.911	2.454
00:02:09.341	2.434
00:02:09.771	2.409
00:02:10.201	2.389
00:02:10.631	2.369
00:02:11.061	2.344
00:02:11.491	2.324
00:02:11.921	2.304
00:02:12.351	2.279
00:02:12.781	2.259
00:02:13.211	2.239
00:02:13.651	2.214
00:02:14.061	2.194
00:02:14.496	2.174
00:02:14.931	2.154
00:02:15.371	2.129
00:02:15.791	2.109
00:02:16.221	2.089
00:02:16.651	2.064
00:02:17.081	2.044
00:02:17.516	2.024
00:02:17.951	2.000
00:06:40.097	2.000
00:06:40.318	2.042
00:06:40.753	2.104
00:06:41.193	2.154
00:06:41.613	2.204
00:06:42.043	2.267
00:06:42.463	2.317
00:06:42.893	2.367
00:06:43.318	2.417
00:06:43.743	2.479
00:06:44.173	2.529
00:06:44.623	2.579
00:06:45.048	2.642
00:06:45.483	2.692
00:06:45.913	2.742
00:06:46.333	2.792
00:06:46.763	2.854
00:06:47.188	2.904
00:06:47.613	2.954
00:06:48.063	3.017
00:06:48.483	3.067
00:06:48.913	3.117
00:06:49.342	3.179
00:06:49.778	3.229
00:06:50.203	3.279
00:06:50.623	3.329
00:06:51.052	3.392
00:06:51.478	3.442
00:06:51.913	3.492
00:06:52.332	3.542
00:06:52.752	3.604
00:06:53.183	3.654
00:06:53.603	3.704
00:06:54.032	3.754
00:06:54.458	3.817
00:06:54.893	3.867
00:06:55.337	3.917
00:06:55.778	3.979
00:06:56.207	4.029
00:06:56.642	4.092
00:06:57.072	4.142
00:06:57.492	4.192
00:06:57.922	4.242
00:06:58.342	4.304
00:06:58.762	4.354
00:06:59.187	4.404
00:06:59.632	4.454
00:07:00.072	4.500
00:07:12.733	4.500
